"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consent","id","com.1","com.2","v.c1_s","p.c1_s","i.c1_s","u.c1_s","a.c1_s","att_s","z","q_s","q_s_DO","v.c1_t","p.c1_t","i.c1_t","u.c1_t","a.c1_t","att_t","q_t","q_t_DO","v.m1_s","p.m1_s","i.m1_s","u.m1_s","a.m1_s","att_s.1","v.m1_t","p.m1_t","i.m1_t","u.m1_t","a.m1_t","att_t.1","FL_14_DO","FL_109_DO","FL_110_DO","casevienna_DO","casetech.pizza_DO","messagevienna_DO","messagetech.pizza_DO"
"5/13/2024 8:10","5/13/2024 8:12","0","100","109","1","5/13/2024 8:12","","","","","anonymous","EN","1",11,"7","1","","","","","","","Try not let things get to you that much ","","","","","","","","","1","0|0|1","","","","","","","1","2","1","1","2","4","FL_107","","FL_85","","","","Q288|att_f|att_t|p.m1_t|i.m1_t|v.m1_t|a.m1_t|u.m1_t"
"5/13/2024 8:10","5/13/2024 8:12","0","100","109","1","5/13/2024 8:12","","","","","anonymous","EN","1",12,"7","1","","","","","","","Dominoes was able to increase its value by providing better service without having to adjust their product quality.","","","4","3","5","4","5","4","1","0|0|1","","","","","","","","","","","","","FL_108","FL_82","","","Q213|Q214|i.c1_t|v.c1_t|u.c1_t|a.c1_t|p.c1_t|att_t","",""
"5/13/2024 8:11","5/13/2024 8:12","0","100","27","1","5/13/2024 8:12","","","","","anonymous","EN","1",13,"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:10","5/13/2024 8:12","0","100","86","1","5/13/2024 8:12","","","","","anonymous","EN","1",14,"7","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:10","5/13/2024 8:12","0","100","122","1","5/13/2024 8:12","","","","","anonymous","EN","1",15,"7","1","","","","","","","there isn't enough context to understand the point trying to be made","1","0|0|1","","","","","","","","","2","1","2","1","2","4","","","","","","","FL_107","","FL_53","","","Q258|Q259|att_s|i.m1_s|v.m1_s|a.m1_s|u.m1_s|p.m1_s",""
"5/13/2024 8:10","5/13/2024 8:12","0","100","144","1","5/13/2024 8:12","","","","","anonymous","EN","1",16,"7","1","","","","","","","sometimes just simplpifying or speeding up a process can be as valuable as improving a specific product quality","","","","","","","","","1","0|0|1","","","","","","","3","3","4","3","2","4","FL_107","","FL_85","","","","Q288|att_f|att_t|u.m1_t|p.m1_t|a.m1_t|i.m1_t|v.m1_t"
"5/13/2024 8:10","5/13/2024 8:12","0","100","110","1","5/13/2024 8:12","","","","","anonymous","EN","1",17,"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:11","5/13/2024 8:12","0","100","79","1","5/13/2024 8:12","","","","","anonymous","EN","1",18,"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:11","5/13/2024 8:12","0","100","89","1","5/13/2024 8:12","","","","","anonymous","EN","1",19,"7","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:10","5/13/2024 8:12","0","100","106","1","5/13/2024 8:12","","","","","anonymous","EN","1",20,"7","1","","","","","","","Learnt that through a different marketing technique they were able to improve their profits ","","","1","4","4","2","2","4","0","0|0|1","","","","","","","","","","","","","FL_108","FL_82","","","Q213|Q214|att_t|i.c1_t|p.c1_t|u.c1_t|a.c1_t|v.c1_t","",""
"5/13/2024 8:10","5/13/2024 8:12","0","100","134","1","5/13/2024 8:12","","","","","anonymous","EN","1",21,"7","1","5","6","6","6","5","6","washing your hands is a good thing","1","0|1|0","","","","","","","","","","","","","","","","","","","","","FL_108","FL_51","","Q129|Q56|att_s|a.c1_s|u.c1_s|i.c1_s|p.c1_s|v.c1_s","","",""
"5/13/2024 8:10","5/13/2024 8:13","0","100","180","1","5/13/2024 8:13","","","","","anonymous","EN","1",22,"7","1","","","","","","","That dominos instead of improving the quality of their pizzas they used marketing techniques to improve sales.","","","3","4","5","3","2","4","1","0|0|1","","","","","","","","","","","","","FL_108","FL_82","","","Q213|Q214|v.c1_t|i.c1_t|p.c1_t|u.c1_t|att_t|a.c1_t","",""
"5/13/2024 8:10","5/13/2024 8:13","0","100","132","1","5/13/2024 8:13","","","","","anonymous","EN","1",23,"7","1","","","","","","","I like that sometimes you do not have to change your product but rather how you mark it and sell your product to your customers","","","4","4","3","4","3","4","1","1|0|0","","","","","","","","","","","","","FL_108","FL_82","","","Q213|Q214|v.c1_t|a.c1_t|u.c1_t|att_t|p.c1_t|i.c1_t","",""
"5/13/2024 8:11","5/13/2024 8:13","0","100","117","1","5/13/2024 8:13","","","","","anonymous","EN","1",24,"7","1","","","","","","","It is important to explain the fundaments and theory of the argument you provide, as people will otherwise not change their opinion.","1","0|1|0","","","","","","","","","6","5","5","6","6","4","","","","","","","FL_107","","FL_53","","","Q258|Q259|a.m1_s|v.m1_s|u.m1_s|att_s|i.m1_s|p.m1_s",""
"5/13/2024 8:10","5/13/2024 8:13","0","100","159","1","5/13/2024 8:13","","","","","anonymous","EN","1",25,"7","1","","","","","","","i found what i read hard to read, and made my ownmind up","0","0|1|0","","","","","","","","","5","2","5","4","3","4","","","","","","","FL_107","","FL_53","","","Q258|Q259|u.m1_s|a.m1_s|v.m1_s|i.m1_s|att_s|p.m1_s",""
"5/13/2024 8:11","5/13/2024 8:13","0","100","117","1","5/13/2024 8:13","","","","","anonymous","EN","1",26,"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:10","5/13/2024 8:13","0","100","134","1","5/13/2024 8:13","","","","","anonymous","EN","1",27,"7","1","","","","","","","Apparently evidence alone isn't enough to change someone's mind.","1","0|0|1","","","","","","","","","3","2","3","3","4","4","","","","","","","FL_107","","FL_53","","","Q258|Q259|att_s|p.m1_s|u.m1_s|i.m1_s|v.m1_s|a.m1_s",""
"5/13/2024 8:12","5/13/2024 8:13","0","100","46","1","5/13/2024 8:13","","","","","anonymous","EN","1",28,"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:10","5/13/2024 8:13","0","100","181","1","5/13/2024 8:13","","","","","anonymous","EN","1",29,"7","1","","","","","","","I thought it was dishonest.","","","","","","","","","1","1|0|0","","","","","","","2","2","3","4","2","4","FL_107","","FL_85","","","","Q288|att_f|u.m1_t|i.m1_t|att_t|p.m1_t|a.m1_t|v.m1_t"
"5/13/2024 8:10","5/13/2024 8:13","0","100","189","1","5/13/2024 8:13","","","","","anonymous","EN","1",30,"7","1","6","3","6","5","6","4","thanks to an analysis of whether doctors washed their hands, they found that they did not wash their hands in most cases, so from then on they started to do it.","0","0|0|1","","","","","","","","","","","","","","","","","","","","","FL_108","FL_51","","Q129|Q56|att_s|i.c1_s|v.c1_s|a.c1_s|u.c1_s|p.c1_s","","",""
"5/13/2024 8:12","5/13/2024 8:13","0","100","80","1","5/13/2024 8:13","","","","","anonymous","EN","1",31,"7","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:12","5/13/2024 8:13","0","100","75","1","5/13/2024 8:13","","","","","anonymous","EN","1",32,"7","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:10","5/13/2024 8:13","0","100","219","1","5/13/2024 8:14","","","","","anonymous","EN","1",33,"7","1","","","","","","","Gave me a new perspective and insighted my need to learn more things","","","","","","","","","0","0|0|1","","","","","","","6","5","6","5","6","4","FL_107","","FL_85","","","","Q288|att_f|a.m1_t|v.m1_t|p.m1_t|att_t|u.m1_t|i.m1_t"
"5/13/2024 8:09","5/13/2024 8:14","0","100","242","1","5/13/2024 8:14","","","","","anonymous","EN","1",34,"7","1","","","","","","","Learnt that simple delivery is better than quality which i find useless ","","","","","","","","","0","0|1|0","","","","","","","4","2","2","3","4","3","FL_107","","FL_85","","","","Q288|att_f|att_t|u.m1_t|p.m1_t|v.m1_t|i.m1_t|a.m1_t"
"5/13/2024 8:10","5/13/2024 8:14","0","100","192","1","5/13/2024 8:14","","","","","anonymous","EN","1",35,"7","1","2","1","1","2","1","4","i learned that prior to the introduction of the germ theory doctors in hospitals would not wash their hands before helping a mother give birth","0","1|0|0","","","","","","","","","","","","","","","","","","","","","FL_108","FL_51","","Q129|Q56|att_s|v.c1_s|u.c1_s|p.c1_s|i.c1_s|a.c1_s","","",""
"5/13/2024 8:11","5/13/2024 8:14","0","100","178","1","5/13/2024 8:14","","","","","anonymous","EN","1",36,"7","1","","","","","","","They didn’t try to fix the actual product (low quality pizza) but tried to make better the customer service/experience","","","4","5","5","3","4","4","1","1|0|0","","","","","","","","","","","","","FL_108","FL_82","","","Q213|Q214|i.c1_t|v.c1_t|att_t|u.c1_t|a.c1_t|p.c1_t","",""
"5/13/2024 8:10","5/13/2024 8:14","0","100","232","1","5/13/2024 8:14","","","","","anonymous","EN","1",37,"7","1","","","","","","","I learned that no matter how much you speak to someone about an idea/theory, they will be less inclined to change their mind or believe you without showing them evidence. Seeing is believing for most people","0","1|0|0","","","","","","","","","6","5","5","5","6","4","","","","","","","FL_107","","FL_53","","","Q258|Q259|att_s|v.m1_s|a.m1_s|p.m1_s|u.m1_s|i.m1_s",""
"5/13/2024 8:11","5/13/2024 8:14","0","100","173","1","5/13/2024 8:14","","","","","anonymous","EN","1",38,"7","1","","","","","","","Improving the speed of your delivery of a product can sometimes make you more money than the product itself, meaning people will be more likely to buy from you based on how fast they get the product over the product alone","","","","","","","","","1","0|0|1","","","","","","","3","3","5","5","5","4","FL_107","","FL_85","","","","Q288|att_f|att_t|p.m1_t|a.m1_t|i.m1_t|u.m1_t|v.m1_t"
"5/13/2024 8:11","5/13/2024 8:14","0","100","167","1","5/13/2024 8:14","","","","","anonymous","EN","1",39,"7","1","","","","","","","Dominos pricing","","","1","1","1","1","1","4","0","0|1|0","","","","","","","","","","","","","FL_108","FL_82","","","Q213|Q214|u.c1_t|a.c1_t|i.c1_t|p.c1_t|att_t|v.c1_t","",""
"5/13/2024 8:11","5/13/2024 8:14","0","100","168","1","5/13/2024 8:14","","","","","anonymous","EN","1",40,"7","1","","","","","","","The lessons explained that sometimes you need to improve and simplify the way you deliver a product instead of trying to improve the product itself.","","","","","","","","","1","0|1|0","","","","","","","1","2","2","3","1","4","FL_107","","FL_85","","","","Q288|att_f|att_t|u.m1_t|a.m1_t|v.m1_t|i.m1_t|p.m1_t"
"5/13/2024 8:10","5/13/2024 8:14","0","100","227","1","5/13/2024 8:14","","","","","anonymous","EN","1",41,"7","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:11","5/13/2024 8:14","0","100","159","1","5/13/2024 8:14","","","","","anonymous","EN","1",42,"7","1","4","4","5","4","4","4","people used to not realise how important handwashing was, and so not all hospitals had doctors who wash their hands. as a result these hospitals had more deaths. even when a researcher pointed this out things didnt change until later when science proved handwashing is important due to germs and bacteria","0","0|0|1","","","","","","","","","","","","","","","","","","","","","FL_108","FL_51","","Q129|Q56|v.c1_s|u.c1_s|i.c1_s|att_s|p.c1_s|a.c1_s","","",""
"5/13/2024 8:13","5/13/2024 8:14","0","100","46","1","5/13/2024 8:14","","","","","anonymous","EN","1",43,"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:11","5/13/2024 8:14","0","100","169","1","5/13/2024 8:14","","","","","anonymous","EN","1",44,"7","1","","","","","","","The idea that was presented was really vague, I couldn't apply to any specific situation. It sounded just like an abstract truth which needs more explanation to be useful.","1","0|0|1","","","","","","","","","2","2","2","2","2","4","","","","","","","FL_107","","FL_53","","","Q258|Q259|u.m1_s|a.m1_s|att_s|i.m1_s|p.m1_s|v.m1_s",""
"5/13/2024 8:11","5/13/2024 8:14","0","100","180","1","5/13/2024 8:14","","","","","anonymous","EN","1",45,"7","1","","","","","","","You dont always have to over developed something, but keep it simple and perfect the basics instead.","","","","","","","","","1","1|0|0","","","","","","","2","2","3","2","3","4","FL_107","","FL_85","","","","Q288|att_f|p.m1_t|u.m1_t|v.m1_t|att_t|a.m1_t|i.m1_t"
"5/13/2024 8:14","5/13/2024 8:14","0","100","30","1","5/13/2024 8:14","","","","","anonymous","EN","1",46,"7","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:10","5/13/2024 8:14","0","100","242","1","5/13/2024 8:14","","","","","anonymous","EN","1",47,"7","1","","","","","","","Don't judge a book by it's cover or innocent until proven guilty","0","0|0|1","","","","","","","","","7","7","7","7","7","7","","","","","","","FL_107","","FL_53","","","Q258|Q259|att_s|a.m1_s|u.m1_s|v.m1_s|i.m1_s|p.m1_s",""
"5/13/2024 8:14","5/13/2024 8:14","0","100","24","1","5/13/2024 8:14","","","","","anonymous","EN","1",48,"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:11","5/13/2024 8:14","0","100","179","1","5/13/2024 8:14","","","","","anonymous","EN","1",49,"7","1","","","","","","","People tend to believe information or instructions a whole lot better and more easily if it is supported in a substantial way.","1","1|0|0","","","","","","","","","6","6","6","6","7","4","","","","","","","FL_107","","FL_53","","","Q258|Q259|a.m1_s|v.m1_s|att_s|u.m1_s|p.m1_s|i.m1_s",""
"5/13/2024 8:10","5/13/2024 8:14","0","100","258","1","5/13/2024 8:14","","","","","anonymous","EN","1",50,"7","1","","","","","","","the company or product can make more money ","","","","","","","","","0","0|0|1","","","","","","","6","5","6","6","5","4","FL_107","","FL_85","","","","Q288|att_f|i.m1_t|p.m1_t|a.m1_t|att_t|v.m1_t|u.m1_t"
"5/13/2024 8:12","5/13/2024 8:14","0","100","156","1","5/13/2024 8:14","","","","","anonymous","EN","1",51,"7","1","","","","","","","I didn't learn anything, since the information they gave us is logic and simple to understand without the lesson","","","","","","","","","1","0|0|1","","","","","","","3","1","1","3","4","4","FL_107","","FL_85","","","","Q288|att_f|a.m1_t|v.m1_t|att_t|u.m1_t|p.m1_t|i.m1_t"
"5/13/2024 8:13","5/13/2024 8:14","0","100","54","1","5/13/2024 8:14","","","","","anonymous","EN","1",52,"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:12","5/13/2024 8:14","0","100","134","1","5/13/2024 8:14","","","","","anonymous","EN","1",53,"7","1","","","","","","","I learned that optimising delivery processes can increase conversion rate, but I didn't learn specifically what they did or get any wider competitior/market context","","","2","1","2","4","2","4","1","0|0|1","","","","","","","","","","","","","FL_108","FL_82","","","Q213|Q214|a.c1_t|u.c1_t|p.c1_t|v.c1_t|i.c1_t|att_t","",""
"5/13/2024 8:12","5/13/2024 8:14","0","100","165","1","5/13/2024 8:14","","","","","anonymous","EN","1",54,"7","1","","","","","","","sometimes is better to improve the service that comes with the product (delivery) than the product itself","","","","","","","","","1","0|1|0","","","","","","","6","2","5","6","6","4","FL_107","","FL_85","","","","Q288|att_f|v.m1_t|u.m1_t|a.m1_t|att_t|i.m1_t|p.m1_t"
"5/13/2024 8:10","5/13/2024 8:14","0","100","273","1","5/13/2024 8:14","","","","","anonymous","EN","1",55,"7","1","","","","","","","The lesson above is about how people believe what they see and not exactly what they hear. If you tell someone that this is the correct way to do things , even with evidence to back it up, they most likely would want a practical example first before believing you. ","1","0|1|0","","","","","","","","","5","6","7","6","5","4","","","","","","","FL_107","","FL_53","","","Q258|Q259|p.m1_s|a.m1_s|u.m1_s|i.m1_s|att_s|v.m1_s",""
"5/13/2024 8:12","5/13/2024 8:14","0","100","156","1","5/13/2024 8:14","","","","","anonymous","EN","1",56,"7","1","","","","","","","It provides me the information about how the typical business works and maybe can help me in future","","","","","","","","","1","0|1|0","","","","","","","4","4","4","5","5","4","FL_107","","FL_85","","","","Q288|att_f|a.m1_t|p.m1_t|i.m1_t|v.m1_t|att_t|u.m1_t"
"5/13/2024 8:10","5/13/2024 8:14","0","100","280","1","5/13/2024 8:14","","","","","anonymous","EN","1",57,"7","1","","","","","","","People are always looking for proof or support of whatever evidence you resent. always back everything with support.","1","1|0|0","","","","","","","","","6","6","6","6","6","5","","","","","","","FL_107","","FL_53","","","Q258|Q259|p.m1_s|att_s|u.m1_s|a.m1_s|v.m1_s|i.m1_s",""
"5/13/2024 8:12","5/13/2024 8:15","0","100","163","1","5/13/2024 8:15","","","","","anonymous","EN","1",58,"7","1","","","","","","","That in order for someone to take action he needs to learn a theory beforehand ","1","1|0|0","","","","","","","","","2","1","3","3","2","4","","","","","","","FL_107","","FL_53","","","Q258|Q259|i.m1_s|u.m1_s|v.m1_s|p.m1_s|att_s|a.m1_s",""
"5/13/2024 8:12","5/13/2024 8:15","0","100","132","1","5/13/2024 8:15","","","","","anonymous","EN","1",59,"7","1","5","6","5","6","4","4","It sometimes is important to be different because you can change the medical field.","0","1|0|0","","","","","","","","","","","","","","","","","","","","","FL_108","FL_51","","Q129|Q56|att_s|v.c1_s|i.c1_s|a.c1_s|p.c1_s|u.c1_s","","",""
"5/13/2024 8:12","5/13/2024 8:15","0","100","159","1","5/13/2024 8:15","","","","","anonymous","EN","1",60,"7","1","","","","","","","Learned that instead of quality they just changed the app","","","1","4","3","2","3","4","1","0|0|1","","","","","","","","","","","","","FL_108","FL_82","","","Q213|Q214|u.c1_t|p.c1_t|i.c1_t|v.c1_t|a.c1_t|att_t","",""
"5/13/2024 8:12","5/13/2024 8:15","0","100","160","1","5/13/2024 8:15","","","","","anonymous","EN","1",61,"7","1","","","","","","","i really have no idea","0","0|1|0","","","","","","","","","1","1","1","2","1","4","","","","","","","FL_107","","FL_53","","","Q258|Q259|v.m1_s|i.m1_s|p.m1_s|a.m1_s|att_s|u.m1_s",""
"5/13/2024 8:13","5/13/2024 8:15","0","100","118","1","5/13/2024 8:15","","","","","anonymous","EN","1",62,"7","1","","","","","","","That some people'd rather compromise quality for the sake of short term profits, which will almost surely fire back in the long run","","","","","","","","","1","1|0|0","","","","","","","2","1","1","1","1","4","FL_107","","FL_85","","","","Q288|att_f|att_t|v.m1_t|p.m1_t|u.m1_t|a.m1_t|i.m1_t"
"5/13/2024 8:12","5/13/2024 8:15","0","100","164","1","5/13/2024 8:15","","","","","anonymous","EN","1",63,"7","1","","","","","","","I haven't learned much that would affect my day to day life.","","","","","","","","","1","0|1|0","","","","","","","5","4","4","4","5","4","FL_107","","FL_85","","","","Q288|att_f|v.m1_t|u.m1_t|att_t|a.m1_t|i.m1_t|p.m1_t"
"5/13/2024 8:09","5/13/2024 8:15","0","100","319","1","5/13/2024 8:15","","","","","anonymous","EN","1",64,"7","1","","","","","","","I learnt that instead of focusing on the problem look for other ways to deal with the problem ","","","7","7","7","7","7","4","0","1|0|0","","","","","","","","","","","","","FL_108","FL_82","","","Q213|Q214|u.c1_t|p.c1_t|i.c1_t|att_t|a.c1_t|v.c1_t","",""
"5/13/2024 8:11","5/13/2024 8:15","0","100","198","1","5/13/2024 8:15","","","","","anonymous","EN","1",65,"7","1","5","5","6","5","7","4","I learned so much.","0","1|0|0","","","","","","","","","","","","","","","","","","","","","FL_108","FL_51","","Q129|Q56|i.c1_s|a.c1_s|v.c1_s|u.c1_s|att_s|p.c1_s","","",""
"5/13/2024 8:11","5/13/2024 8:15","0","100","217","1","5/13/2024 8:15","","","","","anonymous","EN","1",66,"7","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:11","5/13/2024 8:15","0","100","198","1","5/13/2024 8:15","","","","","anonymous","EN","1",67,"7","1","","","","","","","i think it was implying that by having a speedy delivery the mid-quality of a product can be overlooked","","","","","","","","","1","1|0|0","","","","","","","2","3","3","3","3","4","FL_107","","FL_85","","","","Q288|att_f|p.m1_t|att_t|i.m1_t|a.m1_t|u.m1_t|v.m1_t"
"5/13/2024 8:11","5/13/2024 8:15","0","100","250","1","5/13/2024 8:15","","","","","anonymous","EN","1",68,"7","1","5","5","6","5","6","4","i learnt washing hands is crucial.","0","0|0|1","","","","","","","","","","","","","","","","","","","","","FL_108","FL_51","","Q129|Q56|a.c1_s|att_s|p.c1_s|v.c1_s|i.c1_s|u.c1_s","","",""
"5/13/2024 8:11","5/13/2024 8:15","0","100","212","1","5/13/2024 8:15","","","","","anonymous","EN","1",69,"7","1","","","","","","","In order for someone to accept something they need evidence that can support your theory to justify why they should accept ","0","0|0|1","","","","","","","","","6","6","7","7","7","4","","","","","","","FL_107","","FL_53","","","Q258|Q259|a.m1_s|p.m1_s|att_s|u.m1_s|i.m1_s|v.m1_s",""
"5/13/2024 8:12","5/13/2024 8:15","0","100","186","1","5/13/2024 8:15","","","","","anonymous","EN","1",70,"7","1","","","","","","","In summary, theories and proven beliefs play a major role in influencing people's perspectives and decisions ","1","1|0|0","","","","","","","","","4","5","5","4","3","4","","","","","","","FL_107","","FL_53","","","Q258|Q259|att_s|v.m1_s|a.m1_s|p.m1_s|u.m1_s|i.m1_s",""
"5/13/2024 8:13","5/13/2024 8:15","0","100","89","1","5/13/2024 8:15","","","","","anonymous","EN","1",71,"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:12","5/13/2024 8:15","0","100","201","1","5/13/2024 8:15","","","","","anonymous","EN","1",72,"7","1","","","","","","","Mere facts or evidence will not sway someone to change their opinion or mind on something. You have to connect it with a broader meaning.","1","1|0|0","","","","","","","","","1","1","1","1","1","4","","","","","","","FL_107","","FL_53","","","Q258|Q259|att_s|a.m1_s|u.m1_s|v.m1_s|i.m1_s|p.m1_s",""
"5/13/2024 8:13","5/13/2024 8:15","0","100","121","1","5/13/2024 8:15","","","","","anonymous","EN","1",73,"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:10","5/13/2024 8:15","0","100","314","1","5/13/2024 8:15","","","","","anonymous","EN","1",74,"7","1","","","","","","","It didn't really give me any -new- insights, or taught me new perspectives. It is known that the market and current society are very VUCA. So you either need to stand out with a great product, or with great services. So not investing in the product would automatically mean that you need to invest in faster delivery. Although my personal preference is always product quality over delivery time. Fast deliveries make it quite hard for a healthy market to develop. So the main insight might be that the lesson is based on a very individualistic, short-term perspective on markets.","","","","","","","","","1","0|1|0","","","","","","","1","1","1","1","1","4","FL_107","","FL_85","","","","Q288|att_f|v.m1_t|i.m1_t|att_t|u.m1_t|a.m1_t|p.m1_t"
"5/13/2024 8:13","5/13/2024 8:15","0","100","99","1","5/13/2024 8:15","","","","","anonymous","EN","1",75,"6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:13","5/13/2024 8:15","0","100","122","1","5/13/2024 8:15","","","","","anonymous","EN","1",76,"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:15","5/13/2024 8:15","0","100","32","1","5/13/2024 8:15","","","","","anonymous","EN","1",77,"7","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/13/2024 8:11","5/13/2024 8:15","0","100","247","1","5/13/2024 8:15","","","","","anonymous","EN","1",78,"7","1","","","","","","","That people sometimes need a background in order to understand and not just basic facts or evidence","1","1|0|0","","","","","","","","","2","2","2","5","2","4","","","","","","","FL_107","","FL_53","","","Q258|Q259|u.m1_s|p.m1_s|a.m1_s|att_s|i.m1_s|v.m1_s",""
"5/13/2024 8:12","5/13/2024 8:15","0","100","202","1","5/13/2024 8:15","","","","","anonymous","EN","1",79,"7","1","5","3","3","4","3","4","I already knew this case but it was helpful to be reminded of it","0","1|0|0","","","","","","","","","","","","","","","","","","","","","FL_108","FL_51","","Q129|Q56|att_s|a.c1_s|p.c1_s|i.c1_s|u.c1_s|v.c1_s","","",""
"5/13/2024 8:12","5/13/2024 8:15","0","100","198","1","5/13/2024 8:15","","","","","anonymous","EN","1",80,"7","1","","","","","","","Corporate organisations will find alternative ways of making money and/or rebranding themselves even if that means sacrificing quality","","","4","5","5","5","2","4","1","0|0|1","","","","","","","","","","","","","FL_108","FL_82","","","Q213|Q214|att_t|a.c1_t|p.c1_t|v.c1_t|u.c1_t|i.c1_t","",""
