StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consent,pid,id,com.1,com.2,v.c1_s,p.c1_s,i.c1_s,u.c1_s,a.c1_s,att_s,z,q_s,q_s_DO,v.c1_t,p.c1_t,i.c1_t,u.c1_t,a.c1_t,att_t,q_t,q_t_DO,v.m1_s,p.m1_s,i.m1_s,u.m1_s,a.m1_s,att_s,v.m1_t,p.m1_t,i.m1_t,u.m1_t,a.m1_t,att_t,FL_14_DO,FL_109_DO,FL_110_DO,casevienna_DO,casetech/pizza_DO,messagevienna_DO,messagetech/pizza_DO
5/13/2024 8:11,5/13/2024 8:11,0,100,33,1,5/13/2024 8:11,,,,,anonymous,EN,1,5d3c3f97607ede00010711a0,610bfb5a1da99c3da6313a50,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:10,5/13/2024 8:11,0,100,59,1,5/13/2024 8:11,,,,,anonymous,EN,1,5f8739ae0483431242e11d41,658056367b094e578caa1eba,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:08,5/13/2024 8:11,0,100,210,1,5/13/2024 8:11,,,,,anonymous,EN,1,5ec3a28f46bca2016fc91c3f,611cef2658a262a018829246,7,1,,,,,,,Most of the time our perspectives changes because of theories that we come across or read,1,1|0|0,,,,,,,,,5,6,5,5,6,4,,,,,,,FL_107,,FL_53,,,Q258|Q259|i.m1_s|a.m1_s|att_s|p.m1_s|u.m1_s|v.m1_s,
5/13/2024 8:10,5/13/2024 8:11,0,100,71,1,5/13/2024 8:11,,,,,anonymous,EN,1,60deef8ac5cb89037125765b,6151f4af8af3c53428216391,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:09,5/13/2024 8:12,0,100,139,1,5/13/2024 8:12,,,,,anonymous,EN,1,66420f65c7e3f00ee38336c3,608d388faa09644ed65bbd49,7,1,,,,,,,If somethings not working try and charnge your tatic,,,5,4,4,4,5,4,1,0|0|1,,,,,,,,,,,,,FL_108,FL_82,,,Q213|Q214|i.c1_t|v.c1_t|att_t|p.c1_t|u.c1_t|a.c1_t,,
5/13/2024 8:10,5/13/2024 8:12,0,100,109,1,5/13/2024 8:12,,,,,anonymous,EN,1,5acca930a3ba7a0001b500fa,59988b453c366e00019de0a4,7,1,,,,,,,Try not let things get to you that much ,,,,,,,,,1,0|0|1,,,,,,,1,2,1,1,2,4,FL_107,,FL_85,,,,Q288|att_f|att_t|p.m1_t|i.m1_t|v.m1_t|a.m1_t|u.m1_t
5/13/2024 8:10,5/13/2024 8:12,0,100,109,1,5/13/2024 8:12,,,,,anonymous,EN,1,65be552ceed6a0595fa1feb5,600ed894271cf07f30826df6,7,1,,,,,,,Dominoes was able to increase its value by providing better service without having to adjust their product quality.,,,4,3,5,4,5,4,1,0|0|1,,,,,,,,,,,,,FL_108,FL_82,,,Q213|Q214|i.c1_t|v.c1_t|u.c1_t|a.c1_t|p.c1_t|att_t,,
5/13/2024 8:11,5/13/2024 8:12,0,100,27,1,5/13/2024 8:12,,,,,anonymous,EN,1,616dac7937032714ba6783e4,65254a6a631d9ec0b489b071,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:10,5/13/2024 8:12,0,100,86,1,5/13/2024 8:12,,,,,anonymous,EN,1,60d89847008f46027b740669,65956ca0a244af43d34cc0b8,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:10,5/13/2024 8:12,0,100,122,1,5/13/2024 8:12,,,,,anonymous,EN,1,648ab6df753c56d19b3b85e3,5ecb8e7c40ce74702b777d98,7,1,,,,,,,there isn't enough context to understand the point trying to be made,1,0|0|1,,,,,,,,,2,1,2,1,2,4,,,,,,,FL_107,,FL_53,,,Q258|Q259|att_s|i.m1_s|v.m1_s|a.m1_s|u.m1_s|p.m1_s,
5/13/2024 8:10,5/13/2024 8:12,0,100,144,1,5/13/2024 8:12,,,,,anonymous,EN,1,65ce32332b847ba1020f7f9f,5acca930a3ba7a0001b500fa,7,1,,,,,,,sometimes just simplpifying or speeding up a process can be as valuable as improving a specific product quality,,,,,,,,,1,0|0|1,,,,,,,3,3,4,3,2,4,FL_107,,FL_85,,,,Q288|att_f|att_t|u.m1_t|p.m1_t|a.m1_t|i.m1_t|v.m1_t
5/13/2024 8:10,5/13/2024 8:12,0,100,110,1,5/13/2024 8:12,,,,,anonymous,EN,1,613705acf1ccba07423c3628,60fd549731b9e7f63821b4d3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:11,5/13/2024 8:12,0,100,79,1,5/13/2024 8:12,,,,,anonymous,EN,1,6139f8d8a355362d6d913a51,5c4f4ce19eeaf00001598126,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:11,5/13/2024 8:12,0,100,89,1,5/13/2024 8:12,,,,,anonymous,EN,1,5ecb8e7c40ce74702b777d98,6163896c00ad4da5a6fe971f,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:10,5/13/2024 8:12,0,100,106,1,5/13/2024 8:12,,,,,anonymous,EN,1,607174ecde2e8b6e6f98a3a6,5fa5c9d4043d821639815eeb,7,1,,,,,,,Learnt that through a different marketing technique they were able to improve their profits ,,,1,4,4,2,2,4,0,0|0|1,,,,,,,,,,,,,FL_108,FL_82,,,Q213|Q214|att_t|i.c1_t|p.c1_t|u.c1_t|a.c1_t|v.c1_t,,
5/13/2024 8:10,5/13/2024 8:12,0,100,134,1,5/13/2024 8:12,,,,,anonymous,EN,1,628183fb40140ebea0f1385c,5ce3d1511749aa001a72b43d,7,1,5,6,6,6,5,6,washing your hands is a good thing,1,0|1|0,,,,,,,,,,,,,,,,,,,,,FL_108,FL_51,,Q129|Q56|att_s|a.c1_s|u.c1_s|i.c1_s|p.c1_s|v.c1_s,,,
5/13/2024 8:10,5/13/2024 8:13,0,100,180,1,5/13/2024 8:13,,,,,anonymous,EN,1,600b00d70c3b950f03a25bd1,5ec3a28f46bca2016fc91c3f,7,1,,,,,,,That dominos instead of improving the quality of their pizzas they used marketing techniques to improve sales.,,,3,4,5,3,2,4,1,0|0|1,,,,,,,,,,,,,FL_108,FL_82,,,Q213|Q214|v.c1_t|i.c1_t|p.c1_t|u.c1_t|att_t|a.c1_t,,
5/13/2024 8:10,5/13/2024 8:13,0,100,132,1,5/13/2024 8:13,,,,,anonymous,EN,1,613a09151c38385763cbdd32,628183fb40140ebea0f1385c,7,1,,,,,,,I like that sometimes you do not have to change your product but rather how you mark it and sell your product to your customers,,,4,4,3,4,3,4,1,1|0|0,,,,,,,,,,,,,FL_108,FL_82,,,Q213|Q214|v.c1_t|a.c1_t|u.c1_t|att_t|p.c1_t|i.c1_t,,
5/13/2024 8:11,5/13/2024 8:13,0,100,117,1,5/13/2024 8:13,,,,,anonymous,EN,1,660d8785249023610cc02782,6516d3d61888082c45b2e8b4,7,1,,,,,,,"It is important to explain the fundaments and theory of the argument you provide, as people will otherwise not change their opinion.",1,0|1|0,,,,,,,,,6,5,5,6,6,4,,,,,,,FL_107,,FL_53,,,Q258|Q259|a.m1_s|v.m1_s|u.m1_s|att_s|i.m1_s|p.m1_s,
5/13/2024 8:10,5/13/2024 8:13,0,100,159,1,5/13/2024 8:13,,,,,anonymous,EN,1,59988b453c366e00019de0a4,5d39270980ccd20015ac3ee0,7,1,,,,,,,"i found what i read hard to read, and made my ownmind up",0,0|1|0,,,,,,,,,5,2,5,4,3,4,,,,,,,FL_107,,FL_53,,,Q258|Q259|u.m1_s|a.m1_s|v.m1_s|i.m1_s|att_s|p.m1_s,
5/13/2024 8:11,5/13/2024 8:13,0,100,117,1,5/13/2024 8:13,,,,,anonymous,EN,1,5f9aaa37ab43c61dc06a051a,61599e86a388b32cdcde16b9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:10,5/13/2024 8:13,0,100,134,1,5/13/2024 8:13,,,,,anonymous,EN,1,5d39270980ccd20015ac3ee0,5e3021e7f26974026ffd0cf4,7,1,,,,,,,Apparently evidence alone isn't enough to change someone's mind.,1,0|0|1,,,,,,,,,3,2,3,3,4,4,,,,,,,FL_107,,FL_53,,,Q258|Q259|att_s|p.m1_s|u.m1_s|i.m1_s|v.m1_s|a.m1_s,
5/13/2024 8:12,5/13/2024 8:13,0,100,46,1,5/13/2024 8:13,,,,,anonymous,EN,1,60fd549731b9e7f63821b4d3,650af19496df3f84df395376,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:10,5/13/2024 8:13,0,100,181,1,5/13/2024 8:13,,,,,anonymous,EN,1,600ed894271cf07f30826df6,648ab6df753c56d19b3b85e3,7,1,,,,,,,I thought it was dishonest.,,,,,,,,,1,1|0|0,,,,,,,2,2,3,4,2,4,FL_107,,FL_85,,,,Q288|att_f|u.m1_t|i.m1_t|att_t|p.m1_t|a.m1_t|v.m1_t
5/13/2024 8:10,5/13/2024 8:13,0,100,194,1,5/13/2024 8:13,,,,,anonymous,EN,1,6086544064ba18714a5fc834,616e245a3258da2a7ffc8543,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:10,5/13/2024 8:13,0,100,189,1,5/13/2024 8:13,,,,,anonymous,EN,1,658056367b094e578caa1eba,5db954a2af32f6000a8fe36c,7,1,6,3,6,5,6,4,"thanks to an analysis of whether doctors washed their hands, they found that they did not wash their hands in most cases, so from then on they started to do it.",0,0|0|1,,,,,,,,,,,,,,,,,,,,,FL_108,FL_51,,Q129|Q56|att_s|i.c1_s|v.c1_s|a.c1_s|u.c1_s|p.c1_s,,,
5/13/2024 8:12,5/13/2024 8:13,0,100,80,1,5/13/2024 8:13,,,,,anonymous,EN,1,5db954a2af32f6000a8fe36c,663e1ef3a44df58afe1a8299,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:12,5/13/2024 8:13,0,100,75,1,5/13/2024 8:13,,,,,anonymous,EN,1,614831813dc412ccc8e2f563,656394e807bb3c72f8a752cc,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:10,5/13/2024 8:13,0,100,219,1,5/13/2024 8:14,,,,,anonymous,EN,1,6151f4af8af3c53428216391,660d8785249023610cc02782,7,1,,,,,,,Gave me a new perspective and insighted my need to learn more things,,,,,,,,,0,0|0|1,,,,,,,6,5,6,5,6,4,FL_107,,FL_85,,,,Q288|att_f|a.m1_t|v.m1_t|p.m1_t|att_t|u.m1_t|i.m1_t
5/13/2024 8:09,5/13/2024 8:14,0,100,242,1,5/13/2024 8:14,,,,,anonymous,EN,1,660654529792b18282668665,615eb7b24176fea8c72153e1,7,1,,,,,,,Learnt that simple delivery is better than quality which i find useless ,,,,,,,,,0,0|1|0,,,,,,,4,2,2,3,4,3,FL_107,,FL_85,,,,Q288|att_f|att_t|u.m1_t|p.m1_t|v.m1_t|i.m1_t|a.m1_t
5/13/2024 8:10,5/13/2024 8:14,0,100,192,1,5/13/2024 8:14,,,,,anonymous,EN,1,5fb5855cb74f4b0c65f0bef3,660ec42949f31110e4d0a467,7,1,2,1,1,2,1,4,i learned that prior to the introduction of the germ theory doctors in hospitals would not wash their hands before helping a mother give birth,0,1|0|0,,,,,,,,,,,,,,,,,,,,,FL_108,FL_51,,Q129|Q56|att_s|v.c1_s|u.c1_s|p.c1_s|i.c1_s|a.c1_s,,,
5/13/2024 8:11,5/13/2024 8:14,0,100,178,1,5/13/2024 8:14,,,,,anonymous,EN,1,5ce3d1511749aa001a72b43d,5dbda34ea262de2de99428e7,7,1,,,,,,,They didn’t try to fix the actual product (low quality pizza) but tried to make better the customer service/experience,,,4,5,5,3,4,4,1,1|0|0,,,,,,,,,,,,,FL_108,FL_82,,,Q213|Q214|i.c1_t|v.c1_t|att_t|u.c1_t|a.c1_t|p.c1_t,,
5/13/2024 8:10,5/13/2024 8:14,0,100,232,1,5/13/2024 8:14,,,,,anonymous,EN,1,5f70b6d420717c6a6dcf0773,613705acf1ccba07423c3628,7,1,,,,,,,"I learned that no matter how much you speak to someone about an idea/theory, they will be less inclined to change their mind or believe you without showing them evidence. Seeing is believing for most people",0,1|0|0,,,,,,,,,6,5,5,5,6,4,,,,,,,FL_107,,FL_53,,,Q258|Q259|att_s|v.m1_s|a.m1_s|p.m1_s|u.m1_s|i.m1_s,
5/13/2024 8:11,5/13/2024 8:14,0,100,173,1,5/13/2024 8:14,,,,,anonymous,EN,1,611a7dcc2dbcd2a013c5eccc,61115eea5f25ccaea847d152,7,1,,,,,,,"Improving the speed of your delivery of a product can sometimes make you more money than the product itself, meaning people will be more likely to buy from you based on how fast they get the product over the product alone",,,,,,,,,1,0|0|1,,,,,,,3,3,5,5,5,4,FL_107,,FL_85,,,,Q288|att_f|att_t|p.m1_t|a.m1_t|i.m1_t|u.m1_t|v.m1_t
5/13/2024 8:11,5/13/2024 8:14,0,100,167,1,5/13/2024 8:14,,,,,anonymous,EN,1,60eefa03a3290d76a193dde6,65be552ceed6a0595fa1feb5,7,1,,,,,,,Dominos pricing,,,1,1,1,1,1,4,0,0|1|0,,,,,,,,,,,,,FL_108,FL_82,,,Q213|Q214|u.c1_t|a.c1_t|i.c1_t|p.c1_t|att_t|v.c1_t,,
5/13/2024 8:11,5/13/2024 8:14,0,100,168,1,5/13/2024 8:14,,,,,anonymous,EN,1,660ec42949f31110e4d0a467,611a7dcc2dbcd2a013c5eccc,7,1,,,,,,,The lessons explained that sometimes you need to improve and simplify the way you deliver a product instead of trying to improve the product itself.,,,,,,,,,1,0|1|0,,,,,,,1,2,2,3,1,4,FL_107,,FL_85,,,,Q288|att_f|att_t|u.m1_t|a.m1_t|v.m1_t|i.m1_t|p.m1_t
5/13/2024 8:10,5/13/2024 8:14,0,100,227,1,5/13/2024 8:14,,,,,anonymous,EN,1,65956ca0a244af43d34cc0b8,614831813dc412ccc8e2f563,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:11,5/13/2024 8:14,0,100,159,1,5/13/2024 8:14,,,,,anonymous,EN,1,61599e86a388b32cdcde16b9,60dddafcba71ad145265250d,7,1,4,4,5,4,4,4,"people used to not realise how important handwashing was, and so not all hospitals had doctors who wash their hands. as a result these hospitals had more deaths. even when a researcher pointed this out things didnt change until later when science proved handwashing is important due to germs and bacteria",0,0|0|1,,,,,,,,,,,,,,,,,,,,,FL_108,FL_51,,Q129|Q56|v.c1_s|u.c1_s|i.c1_s|att_s|p.c1_s|a.c1_s,,,
5/13/2024 8:13,5/13/2024 8:14,0,100,46,1,5/13/2024 8:14,,,,,anonymous,EN,1,61670ac6a61ee4c84e390f94,65d1752efe7a391178ae6b52,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:11,5/13/2024 8:14,0,100,169,1,5/13/2024 8:14,,,,,anonymous,EN,1,5edfd24f21501a2e9bfcbc3b,601ae5ee8c799e3ef21c7816,7,1,,,,,,,"The idea that was presented was really vague, I couldn't apply to any specific situation. It sounded just like an abstract truth which needs more explanation to be useful.",1,0|0|1,,,,,,,,,2,2,2,2,2,4,,,,,,,FL_107,,FL_53,,,Q258|Q259|u.m1_s|a.m1_s|att_s|i.m1_s|p.m1_s|v.m1_s,
5/13/2024 8:11,5/13/2024 8:14,0,100,180,1,5/13/2024 8:14,,,,,anonymous,EN,1,5fa5c9d4043d821639815eeb,5f99a558093c0502ff4095b8,7,1,,,,,,,"You dont always have to over developed something, but keep it simple and perfect the basics instead.",,,,,,,,,1,1|0|0,,,,,,,2,2,3,2,3,4,FL_107,,FL_85,,,,Q288|att_f|p.m1_t|u.m1_t|v.m1_t|att_t|a.m1_t|i.m1_t
5/13/2024 8:14,5/13/2024 8:14,0,100,30,1,5/13/2024 8:14,,,,,anonymous,EN,1,65583ffa38bfc41805a553cd,603e4a07f13069c94f988b48,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:10,5/13/2024 8:14,0,100,242,1,5/13/2024 8:14,,,,,anonymous,EN,1,5c74da8b518e24001587904a,60d89847008f46027b740669,7,1,,,,,,,Don't judge a book by it's cover or innocent until proven guilty,0,0|0|1,,,,,,,,,7,7,7,7,7,7,,,,,,,FL_107,,FL_53,,,Q258|Q259|att_s|a.m1_s|u.m1_s|v.m1_s|i.m1_s|p.m1_s,
5/13/2024 8:14,5/13/2024 8:14,0,100,24,1,5/13/2024 8:14,,,,,anonymous,EN,1,5e3021e7f26974026ffd0cf4,596a4c84389a5b000126477f,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:11,5/13/2024 8:14,0,100,179,1,5/13/2024 8:14,,,,,anonymous,EN,1,6163896c00ad4da5a6fe971f,602e16ab9070c18f63bc078c,7,1,,,,,,,People tend to believe information or instructions a whole lot better and more easily if it is supported in a substantial way.,1,1|0|0,,,,,,,,,6,6,6,6,7,4,,,,,,,FL_107,,FL_53,,,Q258|Q259|a.m1_s|v.m1_s|att_s|u.m1_s|p.m1_s|i.m1_s,
5/13/2024 8:10,5/13/2024 8:14,0,100,258,1,5/13/2024 8:14,,,,,anonymous,EN,1,5c4f4ce19eeaf00001598126,600b00d70c3b950f03a25bd1,7,1,,,,,,,the company or product can make more money ,,,,,,,,,0,0|0|1,,,,,,,6,5,6,6,5,4,FL_107,,FL_85,,,,Q288|att_f|i.m1_t|p.m1_t|a.m1_t|att_t|v.m1_t|u.m1_t
5/13/2024 8:12,5/13/2024 8:14,0,100,156,1,5/13/2024 8:14,,,,,anonymous,EN,1,610bfb5a1da99c3da6313a50,5f233b5de2de0e0e11f9e78c,7,1,,,,,,,"I didn't learn anything, since the information they gave us is logic and simple to understand without the lesson",,,,,,,,,1,0|0|1,,,,,,,3,1,1,3,4,4,FL_107,,FL_85,,,,Q288|att_f|a.m1_t|v.m1_t|att_t|u.m1_t|p.m1_t|i.m1_t
5/13/2024 8:13,5/13/2024 8:14,0,100,54,1,5/13/2024 8:14,,,,,anonymous,EN,1,5dbda34ea262de2de99428e7,5ea5bbd62788e55b4895fecf,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024 8:12,5/13/2024 8:14,0,100,134,1,5/13/2024 8:14,,,,,anonymous,EN,1,6117c03443665d291c5d6bc3,62fd14d7b1e0729dc8aadb79,7,1,,,,,,,"I learned that optimising delivery processes can increase conversion rate, but I didn't learn specifically what they did or get any wider competitior/market context",,,2,1,2,4,2,4,1,0|0|1,,,,,,,,,,,,,FL_108,FL_82,,,Q213|Q214|a.c1_t|u.c1_t|p.c1_t|v.c1_t|i.c1_t|att_t,,
5/13/2024 8:12,5/13/2024 8:14,0,100,165,1,5/13/2024 8:14,,,,,anonymous,EN,1,5e6babd0d0031115b8a7bbbf,6304d93524037840bd8bf83e,7,1,,,,,,,sometimes is better to improve the service that comes with the product (delivery) than the product itself,,,,,,,,,1,0|1|0,,,,,,,6,2,5,6,6,4,FL_107,,FL_85,,,,Q288|att_f|v.m1_t|u.m1_t|a.m1_t|att_t|i.m1_t|p.m1_t
5/13/2024 8:10,5/13/2024 8:14,0,100,273,1,5/13/2024 8:14,,,,,anonymous,EN,1,6516d3d61888082c45b2e8b4,616dac7937032714ba6783e4,7,1,,,,,,,"The lesson above is about how people believe what they see and not exactly what they hear. If you tell someone that this is the correct way to do things , even with evidence to back it up, they most likely would want a practical example first before believing you. ",1,0|1|0,,,,,,,,,5,6,7,6,5,4,,,,,,,FL_107,,FL_53,,,Q258|Q259|p.m1_s|a.m1_s|u.m1_s|i.m1_s|att_s|v.m1_s,
5/13/2024 8:12,5/13/2024 8:14,0,100,156,1,5/13/2024 8:14,,,,,anonymous,EN,1,60e840cfd4c065679727d760,5f4e76eff69af505fa21da55,7,1,,,,,,,It provides me the information about how the typical business works and maybe can help me in future,,,,,,,,,1,0|1|0,,,,,,,4,4,4,5,5,4,FL_107,,FL_85,,,,Q288|att_f|a.m1_t|p.m1_t|i.m1_t|v.m1_t|att_t|u.m1_t
5/13/2024 8:10,5/13/2024 8:14,0,100,280,1,5/13/2024 8:14,,,,,anonymous,EN,1,61115eea5f25ccaea847d152,60deef8ac5cb89037125765b,7,1,,,,,,,People are always looking for proof or support of whatever evidence you resent. always back everything with support.,1,1|0|0,,,,,,,,,6,6,6,6,6,5,,,,,,,FL_107,,FL_53,,,Q258|Q259|p.m1_s|att_s|u.m1_s|a.m1_s|v.m1_s|i.m1_s,
