StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consent,pid,id,v.n1,p.n1,i.n1,u.n1,a.n1,q,v.n2,p.n2,i.n2,u.n2,a.n2,att,v.g1,p.g1,i.g1,u.g1,a.g1,v.g2,p.g2,i.g2,u.g2,a.g2,att,FL_14_DO,casefirstrate_DO,casefirstrerate_DO,messagefirstrate_DO,messagefirstrerate_DO
4/3/2024 11:07,4/3/2024 11:11,0,100,220,1,4/3/2024 11:11,,,,,anonymous,EN,1,6005acab3eb3ff531095a020,5fc756cec5e5121fdadfb230,4,5,2,3,3,"I learnt how packages are handled by transport companies, and the measures needed to be taken, to help prevent damages.",3,3,4,3,4,4,,,,,,,,,,,,FL_51,Q129|Q56|p.n1|v.n1|a.n1|u.n1|i.n1,Q142|Q144|u.n2|p.n2|i.n2|v.n2|att|a.n2,,
4/3/2024 11:09,4/3/2024 11:12,0,100,147,1,4/3/2024 11:12,,,,,anonymous,EN,1,60b730d71e6cc3224b7ad99e,63d3f989a1af047b64c7c83e,,,,,,If I package items in a manner that it would appear they are fragile they will be handled by the courier company in a better way,,,,,,,3,3,4,4,4,4,4,4,4,5,4,FL_53,,,Q151|Q152|v.g1|p.g1|i.g1|a.g1|u.g1,Q175|Q177|att|v.g2|i.g2|u.g2|p.g2|a.g2
4/3/2024 11:09,4/3/2024 11:12,0,100,178,1,4/3/2024 11:12,,,,,anonymous,EN,1,64637fa7bb9009a7f1d5a813,60b730d71e6cc3224b7ad99e,,,,,,learnt that companies that package their goods to resemble that of fragile goods reduces product damages during shipping.,,,,,,,6,7,7,6,7,6,6,7,6,7,4,FL_53,,,Q151|Q152|i.g1|v.g1|u.g1|a.g1|p.g1,Q175|Q177|i.g2|p.g2|a.g2|u.g2|v.g2|att
4/3/2024 11:09,4/3/2024 11:12,0,100,166,1,4/3/2024 11:12,,,,,anonymous,EN,1,5e945d66455d9303ca0fead6,64637fa7bb9009a7f1d5a813,,,,,,I learned that packaging items that resemble more fragile items can reduce damage to items in transit.,,,,,,,2,2,2,1,1,2,2,2,1,1,4,FL_53,,,Q151|Q152|u.g1|i.g1|p.g1|v.g1|a.g1,Q175|Q177|i.g2|att|u.g2|p.g2|v.g2|a.g2
4/3/2024 11:10,4/3/2024 11:12,0,100,117,1,4/3/2024 11:12,,,,,anonymous,EN,1,63d3f989a1af047b64c7c83e,5feb87e10479d777f3f06732,5,6,6,5,4,That shipping companies take greater care with items when they perceive them to be more fragile ,3,4,4,4,5,4,,,,,,,,,,,,FL_51,Q129|Q56|p.n1|v.n1|a.n1|i.n1|u.n1,Q142|Q144|att|a.n2|u.n2|p.n2|i.n2|v.n2,,
4/3/2024 11:08,4/3/2024 11:12,0,100,240,1,4/3/2024 11:12,,,,,anonymous,EN,1,5bfda9fd149dbe0001c3f3b3,6092d3d5d250e90206fdc4ee,7,7,7,7,7,I learned a new method in which the product I get to sell would not be damaged when shipping. Basically if I sell a bicycle but I get reports that my produc end up arriving damaged to the customers I have the option to put a fake advertising that my produc is not a bicycle but it's a new TV so my product wouldn't arrive to a customer damaged.,7,7,7,7,7,4,,,,,,,,,,,,FL_51,Q129|Q56|v.n1|u.n1|a.n1|i.n1|p.n1,Q142|Q144|p.n2|i.n2|v.n2|att|a.n2|u.n2,,
4/3/2024 11:09,4/3/2024 11:13,0,100,248,1,4/3/2024 11:13,,,,,anonymous,EN,1,5feb87e10479d777f3f06732,6005acab3eb3ff531095a020,,,,,,"More or less, If I pack the shipments as if they were fragile items I would have less problems because the couriers will treat the shipments as fragile.",,,,,,,4,5,5,4,3,4,4,4,5,3,4,FL_53,,,Q151|Q152|p.g1|v.g1|i.g1|u.g1|a.g1,Q175|Q177|att|u.g2|p.g2|i.g2|a.g2|v.g2
4/3/2024 11:11,4/3/2024 11:13,0,100,129,1,4/3/2024 11:13,,,,,anonymous,EN,1,5f317a5d4634da032b4d40a0,615233b197ee051f7fbabd6f,,,,,,"That if you package stuff and make it noticeably obvious it’s fragile, the couriers will be more careful with the package ",,,,,,,2,1,4,2,4,2,1,1,2,2,4,FL_53,,,Q151|Q152|p.g1|i.g1|a.g1|u.g1|v.g1,Q175|Q177|i.g2|a.g2|att|u.g2|v.g2|p.g2
4/3/2024 11:10,4/3/2024 11:13,0,100,170,1,4/3/2024 11:13,,,,,anonymous,EN,1,63d3f94f54be996e7cf00227,63d3f94f54be996e7cf00227,3,3,3,3,4,The solution to a problem is not always very difficult to come up with,3,3,3,3,4,4,,,,,,,,,,,,FL_51,Q129|Q56|u.n1|i.n1|a.n1|v.n1|p.n1,Q142|Q144|v.n2|i.n2|u.n2|p.n2|a.n2|att,,
4/3/2024 11:12,4/3/2024 11:13,0,100,55,1,4/3/2024 11:13,,,,,anonymous,EN,1,5fea352050a7199cfafc3fcb,5d3db07f00fd1d001cfbaddd,,,,,,I learned nothing new. I already had a good idea of how packages are perceived.,,,,,,,2,3,3,2,2,1,1,1,1,3,4,FL_53,,,Q151|Q152|u.g1|a.g1|p.g1|i.g1|v.g1,Q175|Q177|v.g2|att|a.g2|p.g2|u.g2|i.g2
4/3/2024 11:11,4/3/2024 11:13,0,100,134,1,4/3/2024 11:13,,,,,anonymous,EN,1,660bafe1e8ca7b297f2c972b,5fea352050a7199cfafc3fcb,,,,,,"It is more effective and efficient to take great care packaging products, even if not considered entirely necessary. Better to treat them more frsgile and with greater care than not, as prevents damage",,,,,,,4,4,3,3,4,4,3,3,4,4,4,FL_53,,,Q151|Q152|a.g1|p.g1|u.g1|v.g1|i.g1,Q175|Q177|a.g2|v.g2|p.g2|att|u.g2|i.g2
4/3/2024 11:11,4/3/2024 11:14,0,100,128,1,4/3/2024 11:14,,,,,anonymous,EN,1,615233b197ee051f7fbabd6f,5f317a5d4634da032b4d40a0,3,1,4,2,2,making something look more breakable causes people to treat it with more care,3,4,2,2,1,4,,,,,,,,,,,,FL_51,Q129|Q56|i.n1|v.n1|a.n1|p.n1|u.n1,Q142|Q144|p.n2|v.n2|a.n2|att|u.n2|i.n2,,
4/3/2024 11:13,4/3/2024 11:14,0,100,73,1,4/3/2024 11:14,,,,,anonymous,EN,1,660c1f792ec2de80b04e07ef,6346c4b13753efab830182aa,5,5,5,5,5,Learnt to be clever to find solutions - to think outside the box,5,5,5,5,5,4,,,,,,,,,,,,FL_51,Q129|Q56|u.n1|i.n1|v.n1|p.n1|a.n1,Q142|Q144|a.n2|p.n2|v.n2|u.n2|att|i.n2,,
4/3/2024 11:13,4/3/2024 11:15,0,100,114,1,4/3/2024 11:15,,,,,anonymous,EN,1,5d3db07f00fd1d001cfbaddd,5bdcdbe6ee652a0001eff5f2,,,,,,Using fragile label can help my packages be delivered with care.,,,,,,,5,4,4,3,4,5,5,3,3,4,4,FL_53,,,Q151|Q152|p.g1|v.g1|a.g1|i.g1|u.g1,Q175|Q177|v.g2|p.g2|u.g2|att|a.g2|i.g2
4/3/2024 11:12,4/3/2024 11:15,0,100,209,1,4/3/2024 11:15,,,,,anonymous,EN,1,5bdcdbe6ee652a0001eff5f2,660c1f792ec2de80b04e07ef,5,5,5,5,5,People don't give value to the objects that are unidentified. As in without knowing what's in the box person will most likely treat it without consideration. ,5,4,5,5,5,5,,,,,,,,,,,,FL_51,Q129|Q56|v.n1|a.n1|p.n1|u.n1|i.n1,Q142|Q144|i.n2|u.n2|p.n2|v.n2|att|a.n2,,
4/3/2024 11:10,4/3/2024 11:15,0,100,344,1,4/3/2024 11:15,,,,,anonymous,EN,1,6346c4b13753efab830182aa,5bfda9fd149dbe0001c3f3b3,5,5,4,5,4,bikes don't seem so delicate. I think people are generally afraid of destroying electronics. That's why this idea came to fruition,5,5,5,5,4,4,,,,,,,,,,,,FL_51,Q129|Q56|u.n1|a.n1|v.n1|i.n1|p.n1,Q142|Q144|u.n2|i.n2|a.n2|p.n2|att|v.n2,,
4/3/2024 11:15,4/3/2024 11:17,0,100,93,1,4/3/2024 11:17,,,,,anonymous,EN,1,5efcacbe682c4c0873b3b7e5,6310b388f01e898d69b5866e,,,,,,I learnt that if you package fragile items accordingly you are less likely to incur damage.,,,,,,,5,2,4,5,6,4,3,4,5,5,4,FL_53,,,Q151|Q152|v.g1|i.g1|a.g1|u.g1|p.g1,Q175|Q177|p.g2|att|a.g2|u.g2|v.g2|i.g2
4/3/2024 11:15,4/3/2024 11:18,0,100,143,1,4/3/2024 11:18,,,,,anonymous,EN,1,6591d643b92da4f7a5b2d601,5d83ed17ea47230019e0ae50,,,,,,How you package ,,,,,,,2,1,3,3,2,2,1,2,2,2,4,FL_53,,,Q151|Q152|i.g1|a.g1|u.g1|p.g1|v.g1,Q175|Q177|a.g2|p.g2|i.g2|u.g2|v.g2|att
4/3/2024 11:16,4/3/2024 11:18,0,100,133,1,4/3/2024 11:18,,,,,anonymous,EN,1,60abcd6f3e5efd9fca235828,5d531d67c208c0000167ff54,,,,,,If I package items pretending they are fragile they will be handled better,,,,,,,2,2,2,2,3,2,2,2,2,2,4,FL_53,,,Q151|Q152|a.g1|p.g1|i.g1|u.g1|v.g1,Q175|Q177|v.g2|att|u.g2|a.g2|i.g2|p.g2
4/3/2024 11:13,4/3/2024 11:18,0,100,317,1,4/3/2024 11:18,,,,,anonymous,EN,1,6310b388f01e898d69b5866e,6591d643b92da4f7a5b2d601,5,5,5,4,4,"By implying that the package was a tv and mot a cycle, the company used the human response of looking after a tv screen rather than thinkg that ""it was only a cycle "" inside the package. I think that this was a clever move by the company. ",4,4,5,5,4,4,,,,,,,,,,,,FL_51,Q129|Q56|u.n1|p.n1|v.n1|i.n1|a.n1,Q142|Q144|u.n2|i.n2|p.n2|v.n2|att|a.n2,,
4/3/2024 11:16,4/3/2024 11:19,0,100,142,1,4/3/2024 11:19,,,,,anonymous,EN,1,5d83ed17ea47230019e0ae50,5f119d6034b87902fdd7d772,4,4,4,6,5,I read about a similar idea before and its very clever and efficient way how solving the problem,5,5,5,5,5,4,,,,,,,,,,,,FL_51,Q129|Q56|u.n1|a.n1|p.n1|i.n1|v.n1,Q142|Q144|u.n2|i.n2|v.n2|att|a.n2|p.n2,,
4/3/2024 11:16,4/3/2024 11:19,0,100,175,1,4/3/2024 11:19,,,,,anonymous,EN,1,5cdc88cc50f50f001a783112,655e31cb86cbacf5fca7f68c,7,6,7,7,5,that the delivery drivers will treat a known object such as a TV with greater care than a bike.  It is known that a TV is fragile so the parcel is treated with greater care than if it was just a bike.,6,5,7,6,5,4,,,,,,,,,,,,FL_51,Q129|Q56|p.n1|a.n1|v.n1|i.n1|u.n1,Q142|Q144|u.n2|att|p.n2|a.n2|v.n2|i.n2,,
4/3/2024 11:15,4/3/2024 11:19,0,100,234,1,4/3/2024 11:19,,,,,anonymous,EN,1,60bbce79ba111569d6d37efb,60bbce79ba111569d6d37efb,4,4,5,5,5,New inventions and improvements are made on bicycles like anti theft ,5,4,4,4,5,4,,,,,,,,,,,,FL_51,Q129|Q56|a.n1|u.n1|v.n1|i.n1|p.n1,Q142|Q144|p.n2|a.n2|u.n2|att|v.n2|i.n2,,
4/3/2024 11:16,4/3/2024 11:20,0,100,220,1,4/3/2024 11:20,,,,,anonymous,EN,1,655e31cb86cbacf5fca7f68c,5def0431a506d95b31007a88,,,,,,I learned to pay more attention to the packaging of products.,,,,,,,4,4,5,3,5,5,4,3,4,4,4,FL_53,,,Q151|Q152|p.g1|a.g1|i.g1|u.g1|v.g1,Q175|Q177|p.g2|v.g2|a.g2|u.g2|att|i.g2
4/3/2024 11:19,4/3/2024 11:20,0,100,86,1,4/3/2024 11:20,,,,,anonymous,EN,1,5d531d67c208c0000167ff54,5ab65c67f69e940001d8e06c,,,,,,"It's a smart way to make your parcels look like fragile items to ensure it is delivered safely, without damages",,,,,,,5,5,6,5,5,5,3,4,4,4,4,FL_53,,,Q151|Q152|i.g1|p.g1|a.g1|v.g1|u.g1,Q175|Q177|v.g2|att|u.g2|a.g2|p.g2|i.g2
4/3/2024 11:16,4/3/2024 11:20,0,100,230,1,4/3/2024 11:20,,,,,anonymous,EN,1,615e09c58c95a6551d1fa614,615e09c58c95a6551d1fa614,,,,,,"I learned that if you wrap a package for postage in a certain way, it gives the impression that the contents are particularly fragile. This is useful as it suggests that by following this advice, your parcel may be less likely to be damaged as people treat it with more care/perceive it to be fragile or valuable.  ",,,,,,,4,4,4,5,4,4,4,4,4,5,4,FL_53,,,Q151|Q152|v.g1|u.g1|p.g1|i.g1|a.g1,Q175|Q177|a.g2|p.g2|att|u.g2|i.g2|v.g2
4/3/2024 11:17,4/3/2024 11:20,0,100,179,1,4/3/2024 11:20,,,,,anonymous,EN,1,5def0431a506d95b31007a88,5c7d0d0115f2200001aa7c58,3,3,3,3,2,I consider it to be slightly fraudulent to misrepresent the contents of a parcel.,3,3,3,3,2,4,,,,,,,,,,,,FL_51,Q129|Q56|u.n1|p.n1|i.n1|v.n1|a.n1,Q142|Q144|a.n2|att|u.n2|i.n2|p.n2|v.n2,,
4/3/2024 11:18,4/3/2024 11:20,0,100,108,1,4/3/2024 11:20,,,,,anonymous,EN,1,6099911160f3e9d0d94b18e8,62c862b854735cb56e44ae1f,,,,,,This is just my opinion based on what i read so this is my own feeling.,,,,,,,5,3,4,5,4,4,5,4,5,3,4,FL_53,,,Q151|Q152|p.g1|i.g1|a.g1|v.g1|u.g1,Q175|Q177|i.g2|att|v.g2|a.g2|p.g2|u.g2
4/3/2024 11:17,4/3/2024 11:20,0,100,191,1,4/3/2024 11:20,,,,,anonymous,EN,1,5f119d6034b87902fdd7d772,5f6e71ea9dd5cb3b2bdb45b6,,,,,,"no matter what product is being shipped, if the design of the packaging makes the product look like it could break then the chances of it being broken are reduced due to the extra care taken by the courier",,,,,,,4,3,5,5,4,4,4,5,4,4,4,FL_53,,,Q151|Q152|v.g1|u.g1|i.g1|p.g1|a.g1,Q175|Q177|v.g2|att|i.g2|u.g2|a.g2|p.g2
4/3/2024 11:18,4/3/2024 11:20,0,100,148,1,4/3/2024 11:20,,,,,anonymous,EN,1,6157ff61484ee6c63c01d5d2,5edf802fff5acd23df58da42,3,3,3,4,6,By using a different way to pack bikes ,3,3,3,3,2,4,,,,,,,,,,,,FL_51,Q129|Q56|a.n1|u.n1|i.n1|p.n1|v.n1,Q142|Q144|i.n2|u.n2|att|v.n2|p.n2|a.n2,,
4/3/2024 11:17,4/3/2024 11:21,0,100,216,1,4/3/2024 11:21,,,,,anonymous,EN,1,615a6a2991ab16acd75cce86,615a6a2991ab16acd75cce86,,,,,,From this situation is goes to show that the worth we give to products can derive from its appearance. Therefore in a practical situation we can adapt this lesson to other areas where appearance can be more powerfull than its actual content,,,,,,,4,3,3,4,4,4,3,3,4,4,4,FL_53,,,Q151|Q152|p.g1|i.g1|a.g1|u.g1|v.g1,Q175|Q177|p.g2|i.g2|a.g2|v.g2|u.g2|att
4/3/2024 11:17,4/3/2024 11:21,0,100,231,1,4/3/2024 11:21,,,,,anonymous,EN,1,5c7d0d0115f2200001aa7c58,6157ff61484ee6c63c01d5d2,5,4,5,5,5,"This is a good example of out-of-the-box thinking (pun intended). Although honestly judging by how ihr local couriers treat parcels, I am surprised that it made a difference that they thought the parcels contained tv screens.  ",5,5,5,5,5,4,,,,,,,,,,,,FL_51,Q129|Q56|v.n1|p.n1|u.n1|a.n1|i.n1,Q142|Q144|p.n2|a.n2|att|v.n2|i.n2|u.n2,,
4/3/2024 11:11,4/3/2024 11:21,0,100,597,1,4/3/2024 11:21,,,,,anonymous,EN,1,6501b81649ed8a9d1319fe28,660bafe1e8ca7b297f2c972b,7,7,7,7,6,"I learnt thatwhen shipping or transporting goods, the staff in that department can be very careless especially if they dont know whats in the package. Its possible certain items are just thrown and piles on top of each other without any care. Its always advisable to label items being transported as delicate or handle with care so the other person on the other side is aware. You can also LIE of whats being transported so they are extra cautious or else the company will run into a loss. When damaged it would be easy to hold them accountable since they were warned.",7,7,7,7,6,7,,,,,,,,,,,,FL_51,Q129|Q56|u.n1|i.n1|a.n1|v.n1|p.n1,Q142|Q144|i.n2|u.n2|p.n2|v.n2|a.n2|att,,
4/3/2024 11:19,4/3/2024 11:21,0,100,115,1,4/3/2024 11:21,,,,,anonymous,EN,1,60662064c4e2b814215e6890,613350134d70b5c6f356d045,,,,,,Something I’ve never thought of. Essentially tricking handlers into a false pretence to take additional care.,,,,,,,4,5,6,6,6,5,5,6,5,7,4,FL_53,,,Q151|Q152|p.g1|v.g1|a.g1|u.g1|i.g1,Q175|Q177|u.g2|v.g2|i.g2|p.g2|att|a.g2
4/3/2024 11:17,4/3/2024 11:21,0,100,225,1,4/3/2024 11:21,,,,,anonymous,EN,1,5f6e71ea9dd5cb3b2bdb45b6,62fb7d35f87d4bc060efe2eb,2,1,3,3,5,"I learnt that if a parcel box is blank it is likely to be handled without care and highly likely to be damaged. If you place a picture of something fragile on the box it is more likely to be handled with care, ",3,2,2,5,4,4,,,,,,,,,,,,FL_51,Q129|Q56|i.n1|u.n1|a.n1|p.n1|v.n1,Q142|Q144|u.n2|v.n2|p.n2|att|i.n2|a.n2,,
4/3/2024 11:19,4/3/2024 11:21,0,100,136,1,4/3/2024 11:21,,,,,anonymous,EN,1,62fb7d35f87d4bc060efe2eb,5e5415b91e165b4016ba736e,,,,,,Packaging products to look like a more fragile product can reduce breakage during shipping.,,,,,,,2,2,2,2,2,2,2,2,2,2,4,FL_53,,,Q151|Q152|a.g1|i.g1|p.g1|u.g1|v.g1,Q175|Q177|att|u.g2|i.g2|a.g2|v.g2|p.g2
4/3/2024 11:20,4/3/2024 11:22,0,100,105,1,4/3/2024 11:22,,,,,anonymous,EN,1,5edf802fff5acd23df58da42,60ec003195a012028e8b2879,,,,,,"Something I already suspected, but makes absolute sense. Now it has been confirmed.",,,,,,,4,4,4,5,4,4,4,4,4,4,4,FL_53,,,Q151|Q152|v.g1|p.g1|u.g1|i.g1|a.g1,Q175|Q177|p.g2|v.g2|a.g2|att|u.g2|i.g2
4/3/2024 11:20,4/3/2024 11:22,0,100,92,1,4/3/2024 11:22,,,,,anonymous,EN,1,65fc608b8bfb6126f203b9db,6065f0902087001578557494,4,5,5,4,4,"about the value people place on certain items, a tv is considered fragile whilst an item of much higher value is ignored",5,5,5,5,5,4,,,,,,,,,,,,FL_51,Q129|Q56|v.n1|u.n1|a.n1|i.n1|p.n1,Q142|Q144|i.n2|att|a.n2|p.n2|v.n2|u.n2,,
4/3/2024 11:20,4/3/2024 11:22,0,100,125,1,4/3/2024 11:22,,,,,anonymous,EN,1,656f3c80f7ac5f41e230b9ee,611bf5c145247a98f2eb23e1,,,,,,"If you package a product as if it was more fragile than it actually is, you will have less damaged products during transit. ",,,,,,,3,3,3,3,3,3,3,3,3,3,4,FL_53,,,Q151|Q152|p.g1|i.g1|v.g1|u.g1|a.g1,Q175|Q177|a.g2|att|i.g2|v.g2|p.g2|u.g2
4/3/2024 11:13,4/3/2024 11:22,0,100,547,1,4/3/2024 11:22,,,,,anonymous,EN,1,6541198e1e471eaf39137012,60abcd6f3e5efd9fca235828,7,7,7,7,7,I learnt that you have to be smart to come up with a plan to safeguard your assets and a bit devious into fooling people to protect your goods or property.,7,7,7,7,7,4,,,,,,,,,,,,FL_51,Q129|Q56|v.n1|i.n1|u.n1|p.n1|a.n1,Q142|Q144|v.n2|a.n2|u.n2|att|i.n2|p.n2,,
4/3/2024 11:20,4/3/2024 11:22,0,100,130,1,4/3/2024 11:22,,,,,anonymous,EN,1,5ab65c67f69e940001d8e06c,60fbed497931675f47e00245,,,,,,if you make a package seem somewhat fragile. it will be treated much better than the alternative,,,,,,,7,7,7,7,5,7,7,7,7,5,4,FL_53,,,Q151|Q152|p.g1|i.g1|u.g1|a.g1|v.g1,Q175|Q177|u.g2|p.g2|att|v.g2|i.g2|a.g2
4/3/2024 11:18,4/3/2024 11:22,0,100,284,1,4/3/2024 11:22,,,,,anonymous,EN,1,5f9558cbb4a1a902fb6902e5,60662064c4e2b814215e6890,,,,,,Companies can reduce products damages by superficially packaging them.,,,,,,,2,2,2,2,2,2,1,2,2,2,4,FL_53,,,Q151|Q152|p.g1|a.g1|i.g1|v.g1|u.g1,Q175|Q177|v.g2|a.g2|i.g2|att|p.g2|u.g2
4/3/2024 11:20,4/3/2024 11:23,0,100,172,1,4/3/2024 11:23,,,,,anonymous,EN,1,62c862b854735cb56e44ae1f,6318a8e6993e12c2d2c841d3,,,,,,"The perception of a product being fragile may cause handlers to be more careful. This is could be useful to reduce breakages in transit, reducing lost profits. While this didn't help me in a commercial sense, it may cause me to package things differently in future.",,,,,,,1,3,3,2,2,2,3,3,2,3,4,FL_53,,,Q151|Q152|p.g1|v.g1|a.g1|i.g1|u.g1,Q175|Q177|p.g2|u.g2|a.g2|i.g2|v.g2|att
