StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consent,id,Q3,Q5,X65_att,X65_v.n,X65_p.n,X65_i.n,X65_u.n,X65_a.n,X66_att,X66_v.n,X66_p.n,X66_i.n,X66_u.n,X66_a.n,X67_att,X67_v.n,X67_p.n,X67_i.n,X67_u.n,X67_a.n,X68_att,X68_v.n,X68_p.n,X68_i.n,X68_u.n,X68_a.n,X69_att,X69_v.n,X69_p.n,X69_i.n,X69_u.n,X69_a.n,X70_att,X70_v.n,X70_p.n,X70_i.n,X70_u.n,X70_a.n,X71_att,X71_v.n,X71_p.n,X71_i.n,X71_u.n,X71_a.n,X72_att,X72_v.n,X72_p.n,X72_i.n,X72_u.n,X72_a.n,X73_att,X73_v.n,X73_p.n,X73_i.n,X73_u.n,X73_a.n,X74_att,X74_v.n,X74_p.n,X74_i.n,X74_u.n,X74_a.n,X22_att,X22_v.g,X22_p.g,X22_i.g,X22_u.g,X22_a.g,X23_att,X23_v.g,X23_p.g,X23_i.g,X23_u.g,X23_a.g,X24_att,X24_v.g,X24_p.g,X24_i.g,X24_u.g,X24_a.g,X25_att,X25_v.g,X25_p.g,X25_i.g,X25_u.g,X25_a.g,X26_att,X26_v.g,X26_p.g,X26_i.g,X26_u.g,X26_a.g,X27_att,X27_v.g,X27_p.g,X27_i.g,X27_u.g,X27_a.g,X28_att,X28_v.g,X28_p.g,X28_i.g,X28_u.g,X28_a.g,X29_att,X29_v.g,X29_p.g,X29_i.g,X29_u.g,X29_a.g,X30_att,X30_v.g,X30_p.g,X30_i.g,X30_u.g,X30_a.g,X31_att,X31_v.g,X31_p.g,X31_i.g,X31_u.g,X31_a.g,FL_4_DO,insightful_DO,uninsightful_DO
4/19/2025 13:25,4/19/2025 13:26,0,100,26,1,4/19/2025 13:26,,,,,anonymous,EN,1,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2025 13:25,4/19/2025 13:26,0,100,29,1,4/19/2025 13:26,,,,,anonymous,EN,1,12,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2025 13:25,4/19/2025 13:26,0,100,64,1,4/19/2025 13:26,,,,,anonymous,EN,1,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2025 13:25,4/19/2025 13:26,0,100,50,1,4/19/2025 13:26,,,,,anonymous,EN,1,14,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2025 13:25,4/19/2025 13:26,0,100,39,1,4/19/2025 13:26,,,,,anonymous,EN,1,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2025 13:24,4/19/2025 13:26,0,100,89,1,4/19/2025 13:26,,,,,anonymous,EN,1,16,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uninsightful,,Q210|uninsightful|i.g|v.g|att|p.g|u.g|a.g
4/19/2025 13:24,4/19/2025 13:26,0,100,86,1,4/19/2025 13:26,,,,,anonymous,EN,1,17,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,6,6,5,uninsightful,,Q210|uninsightful|att|p.g|a.g|v.g|i.g|u.g
4/19/2025 13:25,4/19/2025 13:26,0,100,36,1,4/19/2025 13:26,,,,,anonymous,EN,1,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2025 13:23,4/19/2025 13:26,0,100,146,1,4/19/2025 13:26,,,,,anonymous,EN,1,19,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insightful,Q129|insight|i.n|u.n|att|a.n|v.n|p.n,
4/19/2025 13:25,4/19/2025 13:26,0,100,67,1,4/19/2025 13:26,,,,,anonymous,EN,1,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2025 13:25,4/19/2025 13:26,0,100,58,1,4/19/2025 13:26,,,,,anonymous,EN,1,21,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2025 13:24,4/19/2025 13:26,0,100,104,1,4/19/2025 13:26,,,,,anonymous,EN,1,22,7,1,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insightful,Q129|insight|i.n|v.n|p.n|u.n|att|a.n,
4/19/2025 13:24,4/19/2025 13:26,0,100,86,1,4/19/2025 13:26,,,,,anonymous,EN,1,23,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,6,6,7,7,,,,,,,,,,,,,,,,,,,uninsightful,,Q210|uninsightful|p.g|att|i.g|v.g|u.g|a.g
4/19/2025 13:24,4/19/2025 13:26,0,100,96,1,4/19/2025 13:26,,,,,anonymous,EN,1,24,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,7,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insightful,Q129|insight|p.n|v.n|att|u.n|i.n|a.n,
4/19/2025 13:25,4/19/2025 13:26,0,100,83,1,4/19/2025 13:26,,,,,anonymous,EN,1,25,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,3,5,3,,,,,,,uninsightful,,Q210|uninsightful|att|u.g|p.g|a.g|v.g|i.g
4/19/2025 13:25,4/19/2025 13:26,0,100,89,1,4/19/2025 13:26,,,,,anonymous,EN,1,26,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,4,5,4,,,,,,,,,,,,,uninsightful,,Q210|uninsightful|u.g|i.g|att|a.g|v.g|p.g
4/19/2025 13:25,4/19/2025 13:26,0,100,95,1,4/19/2025 13:26,,,,,anonymous,EN,1,27,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,5,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uninsightful,,Q210|uninsightful|i.g|v.g|a.g|u.g|p.g|att
4/19/2025 13:25,4/19/2025 13:26,0,100,72,1,4/19/2025 13:26,,,,,anonymous,EN,1,28,7,1,,,,,,,4,3,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insightful,Q129|insight|p.n|i.n|u.n|att|v.n|a.n,
4/19/2025 13:25,4/19/2025 13:26,0,100,89,1,4/19/2025 13:26,,,,,anonymous,EN,1,29,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uninsightful,,Q210|uninsightful|v.g|u.g|p.g|att|a.g|i.g
4/19/2025 13:24,4/19/2025 13:26,0,100,103,1,4/19/2025 13:26,,,,,anonymous,EN,1,30,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,3,3,3,,,,,,,uninsightful,,Q210|uninsightful|att|p.g|a.g|i.g|v.g|u.g
4/19/2025 13:25,4/19/2025 13:26,0,100,73,1,4/19/2025 13:26,,,,,anonymous,EN,1,31,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insightful,Q129|insight|u.n|v.n|i.n|p.n|a.n|att,
4/19/2025 13:25,4/19/2025 13:26,0,100,81,1,4/19/2025 13:26,,,,,anonymous,EN,1,32,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,uninsightful,,Q210|uninsightful|att|v.g|u.g|p.g|i.g|a.g
4/19/2025 13:23,4/19/2025 13:26,0,100,167,1,4/19/2025 13:26,,,,,anonymous,EN,1,33,7,1,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insightful,Q129|insight|u.n|i.n|a.n|p.n|att|v.n,
4/19/2025 13:24,4/19/2025 13:26,0,100,104,1,4/19/2025 13:26,,,,,anonymous,EN,1,34,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uninsightful,,Q210|uninsightful|p.g|i.g|a.g|att|v.g|u.g
4/19/2025 13:24,4/19/2025 13:26,0,100,116,1,4/19/2025 13:26,,,,,anonymous,EN,1,35,7,1,,,,,,,4,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insightful,Q129|insight|i.n|att|a.n|u.n|v.n|p.n,
4/19/2025 13:25,4/19/2025 13:26,0,100,85,1,4/19/2025 13:26,,,,,anonymous,EN,1,36,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insightful,Q129|insight|att|i.n|p.n|u.n|a.n|v.n,
4/19/2025 13:24,4/19/2025 13:26,0,100,108,1,4/19/2025 13:26,,,,,anonymous,EN,1,37,7,1,,,,,,,,,,,,,,,,,,,4,3,1,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insightful,Q129|insight|a.n|p.n|u.n|v.n|i.n|att,
4/19/2025 13:24,4/19/2025 13:26,0,100,126,1,4/19/2025 13:26,,,,,anonymous,EN,1,38,7,1,,,,,,,,,,,,,,,,,,,4,5,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insightful,Q129|insight|u.n|p.n|i.n|att|v.n|a.n,
4/19/2025 13:24,4/19/2025 13:26,0,100,112,1,4/19/2025 13:26,,,,,anonymous,EN,1,39,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,2,2,3,,,,,,,,,,,,,,,,,,,uninsightful,,Q210|uninsightful|a.g|v.g|i.g|u.g|att|p.g
4/19/2025 13:24,4/19/2025 13:26,0,100,134,1,4/19/2025 13:26,,,,,anonymous,EN,1,40,7,1,,,,,,,,,,,,,,,,,,,,,,,,,4,6,1,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insightful,Q129|insight|u.n|v.n|p.n|i.n|att|a.n,
4/19/2025 13:26,4/19/2025 13:26,0,100,31,1,4/19/2025 13:26,,,,,anonymous,EN,1,41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2025 13:24,4/19/2025 13:26,0,100,155,1,4/19/2025 13:26,,,,,anonymous,EN,1,42,7,1,4,3,3,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insightful,Q129|insight|v.n|u.n|p.n|att|i.n|a.n,
4/19/2025 13:25,4/19/2025 13:26,0,100,84,1,4/19/2025 13:26,,,,,anonymous,EN,1,43,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2025 13:24,4/19/2025 13:26,0,100,134,1,4/19/2025 13:26,,,,,anonymous,EN,1,44,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uninsightful,,Q210|uninsightful|a.g|att|p.g|u.g|i.g|v.g
4/19/2025 13:25,4/19/2025 13:26,0,100,98,1,4/19/2025 13:26,,,,,anonymous,EN,1,45,7,1,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insightful,Q129|insight|p.n|att|i.n|v.n|a.n|u.n,
4/19/2025 13:26,4/19/2025 13:26,0,100,48,1,4/19/2025 13:26,,,,,anonymous,EN,1,46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2025 13:24,4/19/2025 13:27,0,100,121,1,4/19/2025 13:27,,,,,anonymous,EN,1,47,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insightful,Q129|insight|v.n|att|p.n|u.n|i.n|a.n,
4/19/2025 13:25,4/19/2025 13:27,0,100,109,1,4/19/2025 13:27,,,,,anonymous,EN,1,48,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,4,5,5,uninsightful,,Q210|uninsightful|att|v.g|a.g|p.g|i.g|u.g
4/19/2025 13:25,4/19/2025 13:27,0,100,97,1,4/19/2025 13:27,,,,,anonymous,EN,1,49,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2025 13:25,4/19/2025 13:27,0,100,122,1,4/19/2025 13:27,,,,,anonymous,EN,1,50,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uninsightful,,Q210|uninsightful|a.g|att|v.g|u.g|i.g|p.g
4/19/2025 13:24,4/19/2025 13:27,0,100,135,1,4/19/2025 13:27,,,,,anonymous,EN,1,51,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,5,5,5,uninsightful,,Q210|uninsightful|u.g|i.g|v.g|a.g|p.g|att
4/19/2025 13:26,4/19/2025 13:27,0,100,50,1,4/19/2025 13:27,,,,,anonymous,EN,1,52,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2025 13:24,4/19/2025 13:27,0,100,133,1,4/19/2025 13:27,,,,,anonymous,EN,1,53,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uninsightful,,Q210|uninsightful|att|i.g|u.g|a.g|v.g|p.g
4/19/2025 13:26,4/19/2025 13:27,0,100,50,1,4/19/2025 13:27,,,,,anonymous,EN,1,54,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2025 13:25,4/19/2025 13:27,0,100,80,1,4/19/2025 13:27,,,,,anonymous,EN,1,55,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2025 13:24,4/19/2025 13:27,0,100,131,1,4/19/2025 13:27,,,,,anonymous,EN,1,56,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insightful,Q129|insight|v.n|u.n|att|i.n|a.n|p.n,
4/19/2025 13:25,4/19/2025 13:27,0,100,118,1,4/19/2025 13:27,,,,,anonymous,EN,1,57,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
