StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consent,id,v.n1,p.n1,i.n1,u.n1,a.n1,q,v.n2,p.n2,i.n2,u.n2,a.n2,att,v.g1,p.g1,i.g1,u.g1,a.g1,v.g2,p.g2,i.g2,u.g2,a.g2,att.1,FL_14_DO,casefirstrate_DO,casefirstrerate_DO,messagefirstrate_DO,messagefirstrerate_DO
4/3/2024 11:12,4/3/2024 11:13,0,100,55,1,4/3/2024 11:13,,,,,anonymous,EN,1,17,,,,,,I learned nothing new. I already had a good idea of how packages are perceived.,,,,,,,2,3,3,2,2,1,1,1,1,3,4,FL_53,,,Q151|Q152|u.g1|a.g1|p.g1|i.g1|v.g1,Q175|Q177|v.g2|att|a.g2|p.g2|u.g2|i.g2
4/3/2024 11:11,4/3/2024 11:13,0,100,134,1,4/3/2024 11:13,,,,,anonymous,EN,1,18,,,,,,"It is more effective and efficient to take great care packaging products, even if not considered entirely necessary. Better to treat them more frsgile and with greater care than not, as prevents damage",,,,,,,4,4,3,3,4,4,3,3,4,4,4,FL_53,,,Q151|Q152|a.g1|p.g1|u.g1|v.g1|i.g1,Q175|Q177|a.g2|v.g2|p.g2|att|u.g2|i.g2
4/3/2024 11:11,4/3/2024 11:14,0,100,128,1,4/3/2024 11:14,,,,,anonymous,EN,1,19,3,1,4,2,2,making something look more breakable causes people to treat it with more care,3,4,2,2,1,4,,,,,,,,,,,,FL_51,Q129|Q56|i.n1|v.n1|a.n1|p.n1|u.n1,Q142|Q144|p.n2|v.n2|a.n2|att|u.n2|i.n2,,
4/3/2024 11:13,4/3/2024 11:14,0,100,73,1,4/3/2024 11:14,,,,,anonymous,EN,1,20,5,5,5,5,5,Learnt to be clever to find solutions - to think outside the box,5,5,5,5,5,4,,,,,,,,,,,,FL_51,Q129|Q56|u.n1|i.n1|v.n1|p.n1|a.n1,Q142|Q144|a.n2|p.n2|v.n2|u.n2|att|i.n2,,
4/3/2024 11:13,4/3/2024 11:15,0,100,114,1,4/3/2024 11:15,,,,,anonymous,EN,1,21,,,,,,Using fragile label can help my packages be delivered with care.,,,,,,,5,4,4,3,4,5,5,3,3,4,4,FL_53,,,Q151|Q152|p.g1|v.g1|a.g1|i.g1|u.g1,Q175|Q177|v.g2|p.g2|u.g2|att|a.g2|i.g2
4/3/2024 11:12,4/3/2024 11:15,0,100,209,1,4/3/2024 11:15,,,,,anonymous,EN,1,22,5,5,5,5,5,People don't give value to the objects that are unidentified. As in without knowing what's in the box person will most likely treat it without consideration. ,5,4,5,5,5,5,,,,,,,,,,,,FL_51,Q129|Q56|v.n1|a.n1|p.n1|u.n1|i.n1,Q142|Q144|i.n2|u.n2|p.n2|v.n2|att|a.n2,,
4/3/2024 11:10,4/3/2024 11:15,0,100,344,1,4/3/2024 11:15,,,,,anonymous,EN,1,23,5,5,4,5,4,bikes don't seem so delicate. I think people are generally afraid of destroying electronics. That's why this idea came to fruition,5,5,5,5,4,4,,,,,,,,,,,,FL_51,Q129|Q56|u.n1|a.n1|v.n1|i.n1|p.n1,Q142|Q144|u.n2|i.n2|a.n2|p.n2|att|v.n2,,
4/3/2024 11:15,4/3/2024 11:17,0,100,93,1,4/3/2024 11:17,,,,,anonymous,EN,1,24,,,,,,I learnt that if you package fragile items accordingly you are less likely to incur damage.,,,,,,,5,2,4,5,6,4,3,4,5,5,4,FL_53,,,Q151|Q152|v.g1|i.g1|a.g1|u.g1|p.g1,Q175|Q177|p.g2|att|a.g2|u.g2|v.g2|i.g2
4/3/2024 11:15,4/3/2024 11:18,0,100,143,1,4/3/2024 11:18,,,,,anonymous,EN,1,25,,,,,,How you package ,,,,,,,2,1,3,3,2,2,1,2,2,2,4,FL_53,,,Q151|Q152|i.g1|a.g1|u.g1|p.g1|v.g1,Q175|Q177|a.g2|p.g2|i.g2|u.g2|v.g2|att
4/3/2024 11:16,4/3/2024 11:18,0,100,133,1,4/3/2024 11:18,,,,,anonymous,EN,1,26,,,,,,If I package items pretending they are fragile they will be handled better,,,,,,,2,2,2,2,3,2,2,2,2,2,4,FL_53,,,Q151|Q152|a.g1|p.g1|i.g1|u.g1|v.g1,Q175|Q177|v.g2|att|u.g2|a.g2|i.g2|p.g2
4/3/2024 11:13,4/3/2024 11:18,0,100,317,1,4/3/2024 11:18,,,,,anonymous,EN,1,27,5,5,5,4,4,"By implying that the package was a tv and mot a cycle, the company used the human response of looking after a tv screen rather than thinkg that ""it was only a cycle "" inside the package. I think that this was a clever move by the company. ",4,4,5,5,4,4,,,,,,,,,,,,FL_51,Q129|Q56|u.n1|p.n1|v.n1|i.n1|a.n1,Q142|Q144|u.n2|i.n2|p.n2|v.n2|att|a.n2,,
4/3/2024 11:16,4/3/2024 11:19,0,100,142,1,4/3/2024 11:19,,,,,anonymous,EN,1,28,4,4,4,6,5,I read about a similar idea before and its very clever and efficient way how solving the problem,5,5,5,5,5,4,,,,,,,,,,,,FL_51,Q129|Q56|u.n1|a.n1|p.n1|i.n1|v.n1,Q142|Q144|u.n2|i.n2|v.n2|att|a.n2|p.n2,,
4/3/2024 11:16,4/3/2024 11:19,0,100,175,1,4/3/2024 11:19,,,,,anonymous,EN,1,29,7,6,7,7,5,that the delivery drivers will treat a known object such as a TV with greater care than a bike.  It is known that a TV is fragile so the parcel is treated with greater care than if it was just a bike.,6,5,7,6,5,4,,,,,,,,,,,,FL_51,Q129|Q56|p.n1|a.n1|v.n1|i.n1|u.n1,Q142|Q144|u.n2|att|p.n2|a.n2|v.n2|i.n2,,
4/3/2024 11:15,4/3/2024 11:19,0,100,234,1,4/3/2024 11:19,,,,,anonymous,EN,1,30,4,4,5,5,5,New inventions and improvements are made on bicycles like anti theft ,5,4,4,4,5,4,,,,,,,,,,,,FL_51,Q129|Q56|a.n1|u.n1|v.n1|i.n1|p.n1,Q142|Q144|p.n2|a.n2|u.n2|att|v.n2|i.n2,,
4/3/2024 11:16,4/3/2024 11:20,0,100,220,1,4/3/2024 11:20,,,,,anonymous,EN,1,31,,,,,,I learned to pay more attention to the packaging of products.,,,,,,,4,4,5,3,5,5,4,3,4,4,4,FL_53,,,Q151|Q152|p.g1|a.g1|i.g1|u.g1|v.g1,Q175|Q177|p.g2|v.g2|a.g2|u.g2|att|i.g2
4/3/2024 11:19,4/3/2024 11:20,0,100,86,1,4/3/2024 11:20,,,,,anonymous,EN,1,32,,,,,,"It's a smart way to make your parcels look like fragile items to ensure it is delivered safely, without damages",,,,,,,5,5,6,5,5,5,3,4,4,4,4,FL_53,,,Q151|Q152|i.g1|p.g1|a.g1|v.g1|u.g1,Q175|Q177|v.g2|att|u.g2|a.g2|p.g2|i.g2
4/3/2024 11:16,4/3/2024 11:20,0,100,230,1,4/3/2024 11:20,,,,,anonymous,EN,1,33,,,,,,"I learned that if you wrap a package for postage in a certain way, it gives the impression that the contents are particularly fragile. This is useful as it suggests that by following this advice, your parcel may be less likely to be damaged as people treat it with more care/perceive it to be fragile or valuable.  ",,,,,,,4,4,4,5,4,4,4,4,4,5,4,FL_53,,,Q151|Q152|v.g1|u.g1|p.g1|i.g1|a.g1,Q175|Q177|a.g2|p.g2|att|u.g2|i.g2|v.g2
4/3/2024 11:17,4/3/2024 11:20,0,100,179,1,4/3/2024 11:20,,,,,anonymous,EN,1,34,3,3,3,3,2,I consider it to be slightly fraudulent to misrepresent the contents of a parcel.,3,3,3,3,2,4,,,,,,,,,,,,FL_51,Q129|Q56|u.n1|p.n1|i.n1|v.n1|a.n1,Q142|Q144|a.n2|att|u.n2|i.n2|p.n2|v.n2,,
4/3/2024 11:18,4/3/2024 11:20,0,100,108,1,4/3/2024 11:20,,,,,anonymous,EN,1,35,,,,,,This is just my opinion based on what i read so this is my own feeling.,,,,,,,5,3,4,5,4,4,5,4,5,3,4,FL_53,,,Q151|Q152|p.g1|i.g1|a.g1|v.g1|u.g1,Q175|Q177|i.g2|att|v.g2|a.g2|p.g2|u.g2
4/3/2024 11:17,4/3/2024 11:20,0,100,191,1,4/3/2024 11:20,,,,,anonymous,EN,1,36,,,,,,"no matter what product is being shipped, if the design of the packaging makes the product look like it could break then the chances of it being broken are reduced due to the extra care taken by the courier",,,,,,,4,3,5,5,4,4,4,5,4,4,4,FL_53,,,Q151|Q152|v.g1|u.g1|i.g1|p.g1|a.g1,Q175|Q177|v.g2|att|i.g2|u.g2|a.g2|p.g2
4/3/2024 11:18,4/3/2024 11:20,0,100,148,1,4/3/2024 11:20,,,,,anonymous,EN,1,37,3,3,3,4,6,By using a different way to pack bikes ,3,3,3,3,2,4,,,,,,,,,,,,FL_51,Q129|Q56|a.n1|u.n1|i.n1|p.n1|v.n1,Q142|Q144|i.n2|u.n2|att|v.n2|p.n2|a.n2,,
4/3/2024 11:17,4/3/2024 11:21,0,100,216,1,4/3/2024 11:21,,,,,anonymous,EN,1,38,,,,,,From this situation is goes to show that the worth we give to products can derive from its appearance. Therefore in a practical situation we can adapt this lesson to other areas where appearance can be more powerfull than its actual content,,,,,,,4,3,3,4,4,4,3,3,4,4,4,FL_53,,,Q151|Q152|p.g1|i.g1|a.g1|u.g1|v.g1,Q175|Q177|p.g2|i.g2|a.g2|v.g2|u.g2|att
4/3/2024 11:17,4/3/2024 11:21,0,100,231,1,4/3/2024 11:21,,,,,anonymous,EN,1,39,5,4,5,5,5,"This is a good example of out-of-the-box thinking (pun intended). Although honestly judging by how ihr local couriers treat parcels, I am surprised that it made a difference that they thought the parcels contained tv screens.  ",5,5,5,5,5,4,,,,,,,,,,,,FL_51,Q129|Q56|v.n1|p.n1|u.n1|a.n1|i.n1,Q142|Q144|p.n2|a.n2|att|v.n2|i.n2|u.n2,,
4/3/2024 11:11,4/3/2024 11:21,0,100,597,1,4/3/2024 11:21,,,,,anonymous,EN,1,40,7,7,7,7,6,"I learnt thatwhen shipping or transporting goods, the staff in that department can be very careless especially if they dont know whats in the package. Its possible certain items are just thrown and piles on top of each other without any care. Its always advisable to label items being transported as delicate or handle with care so the other person on the other side is aware. You can also LIE of whats being transported so they are extra cautious or else the company will run into a loss. When damaged it would be easy to hold them accountable since they were warned.",7,7,7,7,6,7,,,,,,,,,,,,FL_51,Q129|Q56|u.n1|i.n1|a.n1|v.n1|p.n1,Q142|Q144|i.n2|u.n2|p.n2|v.n2|a.n2|att,,
4/3/2024 11:19,4/3/2024 11:21,0,100,115,1,4/3/2024 11:21,,,,,anonymous,EN,1,41,,,,,,Something I’ve never thought of. Essentially tricking handlers into a false pretence to take additional care.,,,,,,,4,5,6,6,6,5,5,6,5,7,4,FL_53,,,Q151|Q152|p.g1|v.g1|a.g1|u.g1|i.g1,Q175|Q177|u.g2|v.g2|i.g2|p.g2|att|a.g2
4/3/2024 11:17,4/3/2024 11:21,0,100,225,1,4/3/2024 11:21,,,,,anonymous,EN,1,42,2,1,3,3,5,"I learnt that if a parcel box is blank it is likely to be handled without care and highly likely to be damaged. If you place a picture of something fragile on the box it is more likely to be handled with care, ",3,2,2,5,4,4,,,,,,,,,,,,FL_51,Q129|Q56|i.n1|u.n1|a.n1|p.n1|v.n1,Q142|Q144|u.n2|v.n2|p.n2|att|i.n2|a.n2,,
4/3/2024 11:19,4/3/2024 11:21,0,100,136,1,4/3/2024 11:21,,,,,anonymous,EN,1,43,,,,,,Packaging products to look like a more fragile product can reduce breakage during shipping.,,,,,,,2,2,2,2,2,2,2,2,2,2,4,FL_53,,,Q151|Q152|a.g1|i.g1|p.g1|u.g1|v.g1,Q175|Q177|att|u.g2|i.g2|a.g2|v.g2|p.g2
4/3/2024 11:20,4/3/2024 11:22,0,100,105,1,4/3/2024 11:22,,,,,anonymous,EN,1,44,,,,,,"Something I already suspected, but makes absolute sense. Now it has been confirmed.",,,,,,,4,4,4,5,4,4,4,4,4,4,4,FL_53,,,Q151|Q152|v.g1|p.g1|u.g1|i.g1|a.g1,Q175|Q177|p.g2|v.g2|a.g2|att|u.g2|i.g2
4/3/2024 11:20,4/3/2024 11:22,0,100,92,1,4/3/2024 11:22,,,,,anonymous,EN,1,45,4,5,5,4,4,"about the value people place on certain items, a tv is considered fragile whilst an item of much higher value is ignored",5,5,5,5,5,4,,,,,,,,,,,,FL_51,Q129|Q56|v.n1|u.n1|a.n1|i.n1|p.n1,Q142|Q144|i.n2|att|a.n2|p.n2|v.n2|u.n2,,
4/3/2024 11:20,4/3/2024 11:22,0,100,125,1,4/3/2024 11:22,,,,,anonymous,EN,1,46,,,,,,"If you package a product as if it was more fragile than it actually is, you will have less damaged products during transit. ",,,,,,,3,3,3,3,3,3,3,3,3,3,4,FL_53,,,Q151|Q152|p.g1|i.g1|v.g1|u.g1|a.g1,Q175|Q177|a.g2|att|i.g2|v.g2|p.g2|u.g2
4/3/2024 11:13,4/3/2024 11:22,0,100,547,1,4/3/2024 11:22,,,,,anonymous,EN,1,47,7,7,7,7,7,I learnt that you have to be smart to come up with a plan to safeguard your assets and a bit devious into fooling people to protect your goods or property.,7,7,7,7,7,4,,,,,,,,,,,,FL_51,Q129|Q56|v.n1|i.n1|u.n1|p.n1|a.n1,Q142|Q144|v.n2|a.n2|u.n2|att|i.n2|p.n2,,
4/3/2024 11:20,4/3/2024 11:22,0,100,130,1,4/3/2024 11:22,,,,,anonymous,EN,1,48,,,,,,if you make a package seem somewhat fragile. it will be treated much better than the alternative,,,,,,,7,7,7,7,5,7,7,7,7,5,4,FL_53,,,Q151|Q152|p.g1|i.g1|u.g1|a.g1|v.g1,Q175|Q177|u.g2|p.g2|att|v.g2|i.g2|a.g2
4/3/2024 11:18,4/3/2024 11:22,0,100,284,1,4/3/2024 11:22,,,,,anonymous,EN,1,49,,,,,,Companies can reduce products damages by superficially packaging them.,,,,,,,2,2,2,2,2,2,1,2,2,2,4,FL_53,,,Q151|Q152|p.g1|a.g1|i.g1|v.g1|u.g1,Q175|Q177|v.g2|a.g2|i.g2|att|p.g2|u.g2
4/3/2024 11:20,4/3/2024 11:23,0,100,172,1,4/3/2024 11:23,,,,,anonymous,EN,1,50,,,,,,"The perception of a product being fragile may cause handlers to be more careful. This is could be useful to reduce breakages in transit, reducing lost profits. While this didn't help me in a commercial sense, it may cause me to package things differently in future.",,,,,,,1,3,3,2,2,2,3,3,2,3,4,FL_53,,,Q151|Q152|p.g1|v.g1|a.g1|i.g1|u.g1,Q175|Q177|p.g2|u.g2|a.g2|i.g2|v.g2|att
4/3/2024 11:19,4/3/2024 11:23,0,100,194,1,4/3/2024 11:23,,,,,anonymous,EN,1,51,6,4,5,5,3,"By tricking shipping companies into thinking that what they were transporting was something that is naturally considered very delicate, they managed to have their product treated with more delicacy than that associated with that necessary for a bicycle.",5,4,5,5,3,4,,,,,,,,,,,,FL_51,Q129|Q56|v.n1|p.n1|u.n1|i.n1|a.n1,Q142|Q144|u.n2|a.n2|att|v.n2|i.n2|p.n2,,
4/3/2024 11:21,4/3/2024 11:23,0,100,124,1,4/3/2024 11:23,,,,,anonymous,EN,1,52,,,,,,If you package goods as if they are valuable it will reduce damage.,,,,,,,2,2,2,2,2,2,2,3,3,3,4,FL_53,,,Q151|Q152|v.g1|p.g1|a.g1|i.g1|u.g1,Q175|Q177|att|p.g2|v.g2|u.g2|a.g2|i.g2
4/3/2024 11:21,4/3/2024 11:23,0,100,138,1,4/3/2024 11:23,,,,,anonymous,EN,1,53,,,,,,all it made me think was to not cut corners and be honest about the product ,,,,,,,1,1,2,1,1,5,5,4,3,3,4,FL_53,,,Q151|Q152|u.g1|v.g1|p.g1|a.g1|i.g1,Q175|Q177|p.g2|v.g2|i.g2|a.g2|u.g2|att
4/3/2024 11:21,4/3/2024 11:23,0,100,158,1,4/3/2024 11:23,,,,,anonymous,EN,1,54,,,,,,Companies will package their products to look like other more fragile products in the hopes that they will be treated with more care during shipping. ,,,,,,,4,2,3,3,3,2,3,3,3,3,4,FL_53,,,Q151|Q152|v.g1|a.g1|i.g1|p.g1|u.g1,Q175|Q177|a.g2|u.g2|i.g2|p.g2|v.g2|att
4/3/2024 11:18,4/3/2024 11:23,0,100,298,1,4/3/2024 11:23,,,,,anonymous,EN,1,55,5,4,6,2,3,It appears that the delivery drivers were mishandling the bikes and when changed to something familiar and delicate they handled it with care,2,4,5,2,2,4,,,,,,,,,,,,FL_51,Q129|Q56|v.n1|i.n1|p.n1|a.n1|u.n1,Q142|Q144|att|i.n2|p.n2|v.n2|a.n2|u.n2,,
4/3/2024 11:22,4/3/2024 11:23,0,100,104,1,4/3/2024 11:23,,,,,anonymous,EN,1,56,,,,,,package things as if they were fragile,,,,,,,2,1,2,2,2,2,2,2,3,2,4,FL_53,,,Q151|Q152|i.g1|a.g1|u.g1|p.g1|v.g1,Q175|Q177|att|u.g2|i.g2|v.g2|p.g2|a.g2
4/3/2024 11:20,4/3/2024 11:24,0,100,245,1,4/3/2024 11:24,,,,,anonymous,EN,1,57,5,5,5,6,5,BY printing a tv on sides of the boxes. they would handle the boxes with more care casue  tv screens break easy. but if they just thought it was a bike made metal they be more careless. teaches u lesson sometimes things ant what they seem and wee white lie can do yourself and ur company good .  ,5,5,5,5,5,4,,,,,,,,,,,,FL_51,Q129|Q56|i.n1|a.n1|p.n1|v.n1|u.n1,Q142|Q144|p.n2|i.n2|u.n2|v.n2|att|a.n2,,
4/3/2024 11:21,4/3/2024 11:24,0,100,169,1,4/3/2024 11:24,,,,,anonymous,EN,1,58,5,5,5,5,5,People are more understanding when they have more information.,5,5,5,5,5,4,,,,,,,,,,,,FL_51,Q129|Q56|i.n1|u.n1|p.n1|v.n1|a.n1,Q142|Q144|a.n2|att|u.n2|p.n2|v.n2|i.n2,,
4/3/2024 11:22,4/3/2024 11:24,0,100,113,1,4/3/2024 11:24,,,,,anonymous,EN,1,59,3,1,3,3,2,that you can manipulate the world to suit your needs,2,1,2,2,2,4,,,,,,,,,,,,FL_51,Q129|Q56|v.n1|a.n1|i.n1|u.n1|p.n1,Q142|Q144|p.n2|a.n2|v.n2|i.n2|att|u.n2,,
4/3/2024 11:22,4/3/2024 11:24,0,100,120,1,4/3/2024 11:24,,,,,anonymous,EN,1,60,,,,,,"My insight on this is, if you package things a certain way that they will be handled with more care",,,,,,,4,2,3,4,3,3,2,3,3,2,4,FL_53,,,Q151|Q152|u.g1|i.g1|v.g1|a.g1|p.g1,Q175|Q177|p.g2|u.g2|att|i.g2|v.g2|a.g2
4/3/2024 11:21,4/3/2024 11:24,0,100,155,1,4/3/2024 11:24,,,,,anonymous,EN,1,61,,,,,,Packaging something to look fragile will reduce damage when shipping. This implies that people who work in the shipping industry treat packages that appear to be fragile better than those that don't. ,,,,,,,2,1,5,3,5,2,2,2,3,5,4,FL_53,,,Q151|Q152|a.g1|i.g1|p.g1|u.g1|v.g1,Q175|Q177|a.g2|p.g2|v.g2|u.g2|i.g2|att
4/3/2024 11:19,4/3/2024 11:24,0,100,325,1,4/3/2024 11:24,,,,,anonymous,EN,1,62,,,,,,The companies package certain products in a certain way depending on the fragility of the product while still trying to make it look appealing.,,,,,,,4,4,5,6,6,5,5,4,5,6,4,FL_53,,,Q151|Q152|i.g1|u.g1|v.g1|a.g1|p.g1,Q175|Q177|u.g2|p.g2|a.g2|i.g2|v.g2|att
4/3/2024 11:22,4/3/2024 11:24,0,100,141,1,4/3/2024 11:24,,,,,anonymous,EN,1,63,6,6,5,6,5,The idea described was ingenious and a great example of left field thinking ,6,6,5,5,5,4,,,,,,,,,,,,FL_51,Q129|Q56|v.n1|u.n1|a.n1|i.n1|p.n1,Q142|Q144|a.n2|att|p.n2|v.n2|i.n2|u.n2,,
4/3/2024 11:23,4/3/2024 11:25,0,100,119,1,4/3/2024 11:25,,,,,anonymous,EN,1,64,,,,,,"People judge something not purely by its actual characteristics, but also by how it is presented.",,,,,,,5,4,5,4,4,5,4,5,5,4,4,FL_53,,,Q151|Q152|i.g1|v.g1|p.g1|a.g1|u.g1,Q175|Q177|att|a.g2|u.g2|v.g2|i.g2|p.g2
4/3/2024 11:21,4/3/2024 11:25,0,100,181,1,4/3/2024 11:25,,,,,anonymous,EN,1,65,,,,,,It gives us insight into how we should package things so that they are not damaged ,,,,,,,4,3,3,3,3,3,3,3,3,3,4,FL_53,,,Q151|Q152|i.g1|v.g1|a.g1|p.g1|u.g1,Q175|Q177|a.g2|att|p.g2|v.g2|u.g2|i.g2
